id,Genotype,Tissue
WT-1,Col-0,Roots
WT-2,Col-0,Roots
WT-3,Col-0,Roots
WT-4,Col-0,Roots
WT-5,Col-0,Roots
WT-6,Col-0,Roots
WT-7,Col-0,Roots
WT-8,Col-0,Roots
WT-9,Col-0,Roots
WT-10,Col-0,Roots
WT-11,Col-0,Roots
WT-12,Col-0,Roots
WT-13,Col-0,Roots
WT-14,Col-0,Roots
WT-15,Col-0,Roots
WT-16,Col-0,Roots
WT-17,Col-0,Roots
tt4-1,tt4,Roots
tt4-2,tt4,Roots
tt4-3,tt4,Roots
tt4-4,tt4,Roots
tt4-5,tt4,Roots
tt4-6,tt4,Roots
tt4-7,tt4,Roots
tt4-8,tt4,Roots
tt4-9,tt4,Roots
tt4-10,tt4,Roots
tt4-11,tt4,Roots
tt4-12,tt4,Roots
tt4-13,tt4,Roots
tt4-14,tt4,Roots
tt4-15,tt4,Roots
tt4-16,tt4,Roots
tt4-17,tt4,Roots
tt4-18,tt4,Roots
tt4-19,tt4,Roots
tt4-20,tt4,Roots
mto1-1,mto1,Roots
mto1-2,mto1,Roots
mto1-3,mto1,Roots
mto1-4,mto1,Roots
mto1-5,mto1,Roots
mto1-6,mto1,Roots
mto1-7,mto1,Roots
mto1-8,mto1,Roots
mto1-9,mto1,Roots
mto1-10,mto1,Roots
mto1-11,mto1,Roots
mto1-12,mto1,Roots
mto1-13,mto1,Roots
mto1-14,mto1,Roots
mto1-15,mto1,Roots
mto1-16,mto1,Roots
