gcid,gcid2,weight_mg,expID,batchID,samplename,genotype,genotype2,modelpred,model,pred,leafcolor,leafshape,rootshape,AGI,aerialpart_weight
Alkane_2,Alkane_2,1,Alkane,Alkane,Alkane,Alkane,Alkane,Alkane,noinfo,noinfo,noinfo,noinfo,noinfo,noinfo,noinfo
Cont13_1,Cont13_1        ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,Cont13_1        ,col0,col-0,pred,nodata,Cont13_1        ,normal,normal,normal,noinfo,noinfo
Cont16_1,Cont16_1        ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,Cont16_1        ,col0,col-0,pred,nodata,Cont16_1        ,normal,normal,normal,noinfo,noinfo
Cont18_1,Cont18_1        ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_05_10,Cont18_1        ,col0,col-0,pred,nodata,Cont18_1        ,normal,normal,normal,noinfo,noinfo
Cont_01_1,Cont_01_1,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Cont_01_1,col0,col-0,pred,nodata,Cont_01_1,normal,normal,normal,noinfo,noinfo
Cont_02_1,Cont_02_1,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Cont_02_1,col0,col-0,pred,nodata,Cont_02_1,normal,normal,normal,noinfo,noinfo
Cont_03_1,Cont_03_1,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Cont_03_1,col0,col-0,pred,nodata,Cont_03_1,normal,normal,normal,noinfo,noinfo
Cont_04_1,Cont_04_1,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Cont_04_1,col0,col-0,pred,nodata,Cont_04_1,normal,normal,normal,noinfo,noinfo
Cont_05_1,Cont_05_1,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Cont_05_1,col0,col-0,pred,nodata,Cont_05_1,normal,normal,normal,noinfo,noinfo
Cont_06_1,Cont_06_1,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Cont_06_1,col0,col-0,pred,nodata,Cont_06_1,normal,normal,normal,noinfo,noinfo
Cont_07_1,Cont_07_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_02_03_04,Cont_07_1       ,col0,col-0,pred,nodata,Cont_07_1       ,normal,normal,normal,noinfo,noinfo
Cont_08_1,Cont_08_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_02_03_04,Cont_08_1       ,col0,col-0,pred,nodata,Cont_08_1       ,normal,normal,normal,noinfo,noinfo
Cont_09_1,Cont_09_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_02_03_04,Cont_09_1       ,col0,col-0,pred,nodata,Cont_09_1       ,normal,normal,normal,noinfo,noinfo
Cont_10_1,Cont_10_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_02_03_04,Cont_10_1       ,col0,col-0,pred,nodata,Cont_10_1       ,normal,normal,normal,noinfo,noinfo
Cont_11_1,Cont_11_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_02_03_04,Cont_11_1       ,col0,col-0,pred,nodata,Cont_11_1       ,normal,normal,normal,noinfo,noinfo
Cont_12_1,Cont_12_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_02_03_04,Cont_12_1       ,col0,col-0,pred,nodata,Cont_12_1       ,normal,normal,normal,noinfo,noinfo
Cont_19_1,Cont_19_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_06_07,Cont_19_1       ,col0,col-0,pred,nodata,Cont_19_1       ,normal,normal,normal,noinfo,noinfo
Cont_20_1,Cont_20_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_06_07,Cont_20_1       ,col0,col-0,pred,nodata,Cont_20_1       ,normal,normal,normal,noinfo,noinfo
Cont_21_1,Cont_21_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_06_07,Cont_21_1       ,col0,col-0,model,Cont_21_1       ,nodata,normal,normal,normal,noinfo,noinfo
Cont_22_1,Cont_22_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_06_07,Cont_22_1       ,col0,col-0,pred,nodata,Cont_22_1       ,normal,normal,normal,noinfo,noinfo
Cont_23_1,Cont_23_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_06_07,Cont_23_1       ,col0,col-0,pred,nodata,Cont_23_1       ,normal,normal,normal,noinfo,noinfo
Cont_24_1,Cont_24_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_06_07,Cont_24_1       ,col0,col-0,pred,nodata,Cont_24_1       ,normal,normal,normal,noinfo,noinfo
Cont_25_1,Cont_25_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,Cont_25_1       ,col0,col-0,pred,nodata,Cont_25_1       ,normal,normal,normal,noinfo,noinfo
Cont_26_1,Cont_26_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,Cont_26_1       ,col0,col-0,pred,nodata,Cont_26_1       ,normal,normal,normal,noinfo,noinfo
Cont_27_1,Cont_27_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,Cont_27_1       ,col0,col-0,pred,nodata,Cont_27_1       ,normal,normal,normal,noinfo,noinfo
Cont_28_1,Cont_28_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,Cont_28_1       ,col0,col-0,pred,nodata,Cont_28_1       ,normal,normal,normal,noinfo,noinfo
Cont_29_1,Cont_29_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,Cont_29_1       ,col0,col-0,pred,nodata,Cont_29_1       ,normal,normal,normal,noinfo,noinfo
Cont_30_1,Cont_30_1       ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_08_11_12,Cont_30_1       ,col0,col-0,pred,nodata,Cont_30_1       ,normal,normal,normal,noinfo,noinfo
MeKO_01_01_1,MeKO_01_01_1    ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,10_01,aba15,aba1-5,pred,nodata,MeKO_01_01_1    ,normal,round,normal,AT5G67030,32
MeKO_01_02_1,MeKO_01_02_1    ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,10_02,aba15,aba1-5,model,MeKO_01_02_1    ,nodata,normal,round,normal,AT5G67030,32.5
MeKO_01_03_1,MeKO_01_03_1    ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,10_05,aba15,aba1-5,pred,nodata,MeKO_01_03_1    ,normal,round,normal,AT5G67030,22.3
MeKO_01_04_1,MeKO_01_04_1    ,0.055555556,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,10_06,aba15,aba1-5,pred,nodata,MeKO_01_04_1    ,normal,round,normal,AT5G67030,9.5
