id,Genotype,Tissue
Col0-1,Col-0,Aerial_parts
Col0-2,Col-0,Aerial_parts
Col0-3,Col-0,Aerial_parts
Col0-4,Col-0,Aerial_parts
Col0-5,Col-0,Aerial_parts
Col0-6,Col-0,Aerial_parts
Col0-7,Col-0,Aerial_parts
Col0-8,Col-0,Aerial_parts
Col0-9,Col-0,Aerial_parts
Col0-10,Col-0,Aerial_parts
Col0-11,Col-0,Aerial_parts
Col0-12,Col-0,Aerial_parts
Col0-13,Col-0,Aerial_parts
Col0-14,Col-0,Aerial_parts
Col0-15,Col-0,Aerial_parts
Col0-16,Col-0,Aerial_parts
Col0-17,Col-0,Aerial_parts
tt4-1,tt4,Aerial_parts
tt4-2,tt4,Aerial_parts
tt4-3,tt4,Aerial_parts
tt4-4,tt4,Aerial_parts
tt4-5,tt4,Aerial_parts
tt4-6,tt4,Aerial_parts
tt4-7,tt4,Aerial_parts
tt4-8,tt4,Aerial_parts
tt4-9,tt4,Aerial_parts
tt4-10,tt4,Aerial_parts
tt4-11,tt4,Aerial_parts
tt4-12,tt4,Aerial_parts
tt4-13,tt4,Aerial_parts
tt4-14,tt4,Aerial_parts
tt4-15,tt4,Aerial_parts
tt4-16,tt4,Aerial_parts
tt4-17,tt4,Aerial_parts
tt4-18,tt4,Aerial_parts
tt4-19,tt4,Aerial_parts
tt4-20,tt4,Aerial_parts
mto1-1,mto1,Aerial_parts
mto1-2,mto1,Aerial_parts
mto1-3,mto1,Aerial_parts
mto1-4,mto1,Aerial_parts
mto1-5,mto1,Aerial_parts
mto1-6,mto1,Aerial_parts
mto1-7,mto1,Aerial_parts
mto1-8,mto1,Aerial_parts
mto1-9,mto1,Aerial_parts
mto1-10,mto1,Aerial_parts
mto1-11,mto1,Aerial_parts
mto1-12,mto1,Aerial_parts
mto1-13,mto1,Aerial_parts
