gcid,Treatment,Day,Genotype,Type,Batch
FD_01_1,,,f,f,EXP1
FD_01_2,,,f,f,EXP2
FD_01_3,,,f,f,EXP3
FD_02_1,,,f,f,EXP1
FD_02_2,,,f,f,EXP2
FD_02_3,,,f,f,EXP3
FD_03_1,,,f,f,EXP1
FD_03_2,,,f,f,EXP2
FD_03_3,,,f,f,EXP3
STDs_1_2_1,,,std,STDs_1,EXP1
STDs_1_2_2,,,std,STDs_1,EXP2
STDs_1_2_3,,,std,STDs_1,EXP3
STDs_1_3_1,,,std,STDs_1,EXP1
STDs_1_3_2,,,std,STDs_1,EXP2
STDs_1_3_3,,,std,STDs_1,EXP3
STDs_2_1_1,,,std,STDs_2,EXP1
STDs_2_1_2,,,std,STDs_2,EXP2
STDs_2_1_3,,,std,STDs_2,EXP3
STDs_2_2_1,,,std,STDs_2,EXP1
STDs_2_2_2,,,std,STDs_2,EXP2
STDs_2_2_3,,,std,STDs_2,EXP3
STDs_2_3_1,,,std,STDs_2,EXP1
STDs_2_3_2,,,std,STDs_2,EXP2
STDs_2_3_3,,,std,STDs_2,EXP3
STDs_3_1_1,,,std,STDs_3,EXP1
STDs_3_1_2,,,std,STDs_3,EXP2
STDs_3_1_3,,,std,STDs_3,EXP3
STDs_3_2_1,,,std,STDs_3,EXP1
STDs_3_2_2,,,std,STDs_3,EXP2
STDs_3_2_3,,,std,STDs_3,EXP3
STDs_3_3_1,,,std,STDs_3,EXP1
STDs_3_3_2,,,std,STDs_3,EXP2
STDs_3_3_3,,,std,STDs_3,EXP3
uv_001_1,ld,4day,Col0,exp,EXP3
uv_002_1,ld,4day,Col0,exp,EXP3
uv_003_1,ld,4day,Col0,exp,EXP3
uv_004_1,ld,4day,Col0,exp,EXP3
uv_005_1,ld,4day,Col0,exp,EXP3
uv_006_1,ld,4day,Col0,exp,EXP3
uv_007_1,ld,4day,Col0,exp,EXP3
uv_008_1,ld,4day,Col0,exp,EXP3
uv_009_1,ld,4day,Col0,exp,EXP3
uv_010_1,ld,4day,Col0,exp,EXP3
uv_011_1,ld,4day,Col0,exp,EXP3
uv_012_1,ld,4day,tt4,exp,EXP3
uv_013_1,ld,4day,tt4,exp,EXP3
uv_014_1,ld,4day,tt4,exp,EXP3
uv_015_1,ld,4day,tt4,exp,EXP3
uv_016_1,ld,4day,tt4,exp,EXP3
uv_017_1,ld,4day,tt4,exp,EXP3
uv_018_1,ld,4day,tt4,exp,EXP3
uv_019_1,ld,4day,tt4,exp,EXP3
