Numbering for matrix	Numbering for unique peaks	IIS_I_A_or_U	I_A_M_or_P	final annotation	RI	Win	fData::lineno	fData::query	fData::known	fData::cas	fData::preferred	fData::action	MeKO_01_01_1	MeKO_01_02_1	MeKO_01_03_1	MeKO_01_04_1	MeKO_01_05_1	MeKO_01_06_1	MeKO_01_07_1	MeKO_01_08_1	MeKO_01_09_1	MeKO_01_10_1	MeKO_01_11_1	MeKO_01_12_1	MeKO_01_13_1	MeKO_01_14_1	MeKO_01_15_1	MeKO_01_16_1	MeKO_01_17_1	MeKO_01_18_1	MeKO_01_19_1	MeKO_01_20_1	MeKO_01_21_1	MeKO_01_22_1	MeKO_01_23_1	MeKO_01_24_1	MeKO_01_25_1	MeKO_01_26_1	MeKO_01_27_1	MeKO_01_28_1	MeKO_01_29_1	MeKO_01_30_1	MeKO_01_31_1	MeKO_01_32_1	MeKO_01_33_1	MeKO_01_34_1	MeKO_01_35_1	MeKO_01_36_1	MeKO_01_37_1	MeKO_01_38_1	MeKO_01_39_1	MeKO_01_40_1	MeKO_01_41_1	MeKO_01_42_1	MeKO_01_43_1	MeKO_01_44_1	MeKO_01_45_1	MeKO_09_02_1	MeKO_09_03_1	MeKO_09_04_1	MeKO_09_05_1	MeKO_09_06_1	MeKO_09_07_1	MeKO_09_08_1	MeKO_09_09_1	MeKO_09_10_1	MeKO_09_11_1	MeKO_09_12_1	MeKO_09_13_1	MeKO_09_14_1	MeKO_09_15_1	MeKO_09_16_1	MeKO_09_17_1	MeKO_09_18_1	MeKO_09_19_1	MeKO_09_20_1	MeKO_09_21_1	MeKO_09_22_1	MeKO_09_23_1	MeKO_09_24_1	MeKO_09_25_1	MeKO_09_26_1	MeKO_09_27_1	MeKO_09_28_1	MeKO_09_29_1	MeKO_09_30_1	MeKO_09_31_1	MeKO_09_32_1	MeKO_09_33_1	MeKO_09_34_1	MeKO_09_35_1	MeKO_09_36_1	MeKO_09_37_1	MeKO_09_38_1	MeKO_09_39_1	MeKO_09_40_1	MeKO_09_41_1	MeKO_09_42_1	MeKO_09_43_1	MeKO_09_44_1	MeKO_09_45_1	MeKO_09_46_1	MeKO_09_47_1	MeKO_09_48_1	MeKO_09_49_1	MeKO_09_50_1	MeKO_09_51_1	MeKO_09_52_1	MeKO_09_53_1	MeKO_09_54_1	MeKO_09_55_1	MeKO_09_56_1	MeKO_09_57_1	MeKO_09_58_1	MeKO_09_59_1	MeKO_09_60_1	MeKO_09_61_1	MeKO_09_62_1	MeKO_09_63_1	MeKO_09_64_1	MeKO_09_65_1	MeKO_09_66_1	MeKO_09_67_1	MeKO_09_68_1	MeKO_09_69_1	MeKO_09_70_1	MeKO_09_71_1	MeKO_09_72_1
090827_MeKO_01_09_ID001	090827_MeKO_01_09_cmb_ID001	U			1003.6	247.42  Win001_C01	2		FALSE	0	0		7977093.53819512	6157491.77307539	30478913.4616086	11014257.2176278	24963845.1096901	10186467.6747556	61928038.0978396	33435204.8669864	24894942.6661136	36769503.4240812	17863775.1693395	42066565.2903472	5312949.77312439	31855219.1834904	99036525.3295647	38277197.3639228	73246858.1107267	33853146.4740066	68394890.6092916	58689697.1191134	86118993.8965858	26750099.9582654	44160196.2223057	17325300.407126	25466740.5216392	31784869.3104988	54708827.1080798	62362889.3843531	29623110.0218975	18025963.268428	24525139.2950495	9141749.45647171	27673109.0521161	6845420.8736937	101427686.838255	15698551.5249385	15935724.2663005	58538168.3462019	52519873.472966	24112198.9718475	39283077.7209026	57254911.0131241	99320097.2526533	45431161.2058108	72448594.0575504	120450702.021339	54374874.8967115	48723382.4125664	45732276.5688349	66818857.1261635	91564709.2536434	48213932.9421356	73175824.6031975	32723624.9439893	50325920.0776634	19497279.9865298	38456623.9692354	111250472.192415	8886089.66889448	20558457.3498831	13025889.2416409	49278551.8515193	42117681.3059899	68953218.4484512	52479513.6171247	8560183.52028898	84204818.0627804	75020177.1914246	66674075.1598445	46358052.8255229	29595650.9517848	46940766.3956412	804642.870889463	45298422.6005616	63264841.2391707	51077236.4584919	35442314.143804	70946455.4941523	64187404.4210766	53662884.7005272	69490326.9960699	57173321.8091689	3941373.4110075	25617434.780019	62413186.7807323	304700.057579637	41641890.5563609	58446401.8622919	34678047.72089	22291950.4262018	51181935.6142548	5965590.80125212	98092899.289072	32291000.609454	63223427.2631639	86687130.2064435	42762017.0826993	78545952.123232	57142362.1503439	9030970.98445234	14705536.8919451	52831331.3135352	65910566.1403058	71649920.103931	12239186.7242535	50746545.4342206	4309664.3865977	48209409.4345769	18100978.8637698	94053991.3949597	62328408.6158271	83985830.2096587	111687146.835453	72065185.6527281	95262705.2767535	18725547.89259
090827_MeKO_01_09_ID002	090827_MeKO_01_09_cmb_ID002	A2		Silane, trimethyl(1-methylethoxy)-	1006.1	248.25  Win001_C02	3	Silane, trimethyl(1-methylethoxy)-	TRUE	0	0		48254769.1331298	28804681.0397964	3454225.92263211	49406845.5852954	10111872.4298721	31177662.9166596	20928191.6997594	67296885.7342627	19427266.6321439	20858734.7955086	33590202.231863	20405324.1901671	41539790.182682	21947090.7847635	304371350.954766	149432136.724907	187724428.090647	163368481.120982	164590913.717607	89367933.904139	105035257.417416	184670995.91764	10414623.4083743	118054046.181985	7264572.35069527	107774943.712324	36238918.6018755	50782100.0982889	82782583.3389529	100714992.454316	61608147.4084134	91669605.4502013	4534293.92671754	128832767.356104	75060389.7849572	92210473.159979	32174730.089227	69715158.1985682	51454684.6900043	55902792.2196999	20455952.9421026	101117379.231274	37682430.7381871	37580379.4256746	14794320.3316824	29687915.1606133	111995200.887819	32915298.8604829	119739873.329025	67619957.1595244	116061391.239166	94845416.7627934	46614511.5176504	93226781.0339123	190227881.796568	68597807.3471747	236364146.48635	149502362.321319	160474570.681382	102590364.407705	135753744.32555	59887263.1988135	26332967.4240205	20292270.8262213	33369327.7866076	126190659.177217	47032348.4786606	46326141.7622996	23655992.2227157	67883153.4579559	16621627.9065657	72353573.1477419	111407201.351646	64786711.915605	35403972.1248694	106129265.551824	70013775.310382	110437838.046867	59248040.890695	31108037.8037287	74172887.3833948	103086438.392366	210398877.675203	11830.8757718648	109196444.113663	240436972.289395	53617804.4383047	60104651.6341456	107532166.252651	58712370.4910742	49546088.0428973	145950386.59273	198503879.316712	163477484.594426	207790351.070127	77438101.0749862	393682361.167927	467088134.428417	82777754.825545	210840058.162213	76888112.0868961	88157910.5937688	48645352.8972764	76114470.1211193	125682352.133311	44702408.2368181	132429643.241426	13809223.5171012	52412725.6207271	16583869.2881318	145892619.890243	35946827.8358965	7155274.68552813	24905617.6014171	35035503.9733215	62307750.9363857
090827_MeKO_01_09_ID003	090827_MeKO_01_09_cmb_ID003	U			1009.2	249.38  Win001_C03	4		FALSE	0	0		1688485.48105893	3239618.6914062	2271951.73952331	5892956.91078742	1611998.81107293	60969.210818892	4191659.62361953	2382153.35061776	1507778.36657138	4031305.28722792	6496072.72684038	8995295.69786175	1703088.46727803	1999832.92370973	18677758.1409137	11005858.9502726	3899857.38305953	9871369.03678556	5592579.02273718	9581247.67103596	7708092.11021512	8137371.75983408	1232592.54408854	1350803.00298043	1220115.66610002	5205623.34483805	1759526.06019628	2684216.09978603	848120.024079683	2188656.34984083	2361327.38335548	5948398.42459008	298643.290336327	2079635.16106332	1712420.42489702	6472364.88926506	5115704.05652225	3739286.70746097	2762214.98645573	3632212.43354644	1032532.13887186	4828275.27784648	4311929.89836439	5581585.78679098	5116127.60469823	2695020.49736468	1879442.94350241	8064904.72891996	2178216.75882077	2440339.11250629	1579459.28593714	864237.331893185	734948.708205088	272315.311945731	5008769.84076389	1180103.88141416	1233400.66008711	7586150.91929538	768628.21703872	1125438.67419115	171891.758067389	3747214.86085403	3913346.42616404	1482422.50051914	56924.4606237215	1218533.83142666	292112.142176908	2555464.86375689	1584111.73010418	908826.517094535	468148.193364878	10201457.7770412	1880439.37580509	2134932.55219734	3087548.75003113	1336484.27766643	2690248.47929156	2004199.52873626	3672064.67041947	3249660.84008552	3854793.18446015	5704350.5924341	8976179.61526409	2680845.99843374	2878787.17878114	2991642.16813579	251789.282544827	141186.591721347	4636672.51707651	747247.560092366	1452538.08025181	2611950.68938868	3310857.7034136	10085566.0355968	2136639.51833589	305010.081428008	4965611.62711034	572704.758650117	6802058.6645825	818850.850490353	4147104.13887791	1586318.19875428	2209599.02327351	1833040.03028571	3638373.42992945	1695896.01501262	8340101.61709833	2142926.71708165	10308167.6363801	883807.830768891	314625.855815322	1624478.20729896	2651416.0921153	8543340.4575406	7360042.89543391	6406671.03058189
090827_MeKO_01_09_ID004	090827_MeKO_01_09_cmb_ID004	U			1011.8	250.27  Win002_C01	5		FALSE	0	0		32684.1635107601	14270575.4165904	4365545.42589654	5342525.49068069	24313353.6023144	7275938.94964682	7553448.8776312	17229654.2382354	5091408.98338642	4790549.31205988	4318972.21661882	5256658.53914071	31176871.2612439	39077751.3707562	14249561.2921576	8023278.18098041	69988177.4345914	5388555.14022226	17403551.0718654	5046442.19162568	6993551.55879103	47411373.8261195	52980618.9660647	21240607.7322696	26438006.5991741	4120940.30630361	14481103.5840014	15379348.6373085	13461994.1821374	56505796.9385276	17445833.4877642	13706480.0242196	20118086.8805037	30041506.1324917	14885211.8920097	8927490.27140564	11913804.7552011	11119257.4967981	8953853.12385183	27656518.2077578	43537364.585443	30174257.903328	25467364.4232725	4307419.07188301	12273161.404364	36559039.3501529	20175833.0492798	22536524.35986	31127096.1611766	53080150.1492398	83218686.5800739	49751585.1919648	17877962.176045	9810793.70462058	50178723.7004338	26692405.8542137	75439604.2663633	53399376.8356626	59533471.3255987	48167971.6733158	78332614.464648	37402580.4933194	17918839.268545	20467809.1524359	41506452.6317236	44821784.9209838	93464015.2602851	51591521.168384	85788739.124175	22908445.1055845	34898173.399387	6966794.10208367	21843160.4941738	25006308.9190128	10140317.0198014	36020313.3075684	25993100.2693701	29776342.9788983	8863210.08260705	10957679.0161399	20054525.5846156	17526164.1943279	9873970.89477888	15941332.8578256	23860411.8388995	26035389.1238847	14391754.2850358	14099602.4593769	10628103.777994	9342377.06447924	32342192.3029414	660109.351721952	50532183.4158039	15595798.0296245	60295136.6809114	14297067.6039035	31998524.3564895	46791381.003233	11137417.2847332	8648411.21684956	35960645.4552701	25847038.3578231	15367837.0446421	31762442.9271196	11606121.9528719	993708.355431694	24721692.4139932	23297941.7405429	8645888.55134617	48996642.9104877	93092738.089177	59781836.1251424	1415880.61325648	1058052.75699837	10924432.5130664	202129.665577902
090827_MeKO_01_09_ID005	090827_MeKO_01_09_cmb_ID005	U			1013.7	251.01  Win002_C02	6		FALSE	0	0		5028624.55937314	10456899.5379835	1240399.36862925	6221599.98735013	9531410.12003904	6165326.03564961	8069723.9497161	2297428.58283126	11588881.2864823	7873906.54664278	11943839.8277993	6857019.47709758	33449345.4007379	30711197.2051151	16297318.2114792	13268169.089335	85841307.8011171	20986294.5360128	16689429.5620355	56369124.8009892	23614880.8105267	42064603.9458379	29721740.6034084	28589390.1203842	42758461.2677087	2943280.32185769	19830616.7708219	13642276.2151582	19704007.4068977	26479530.7951279	7955693.56216186	12382863.1821408	25516568.6854639	19647118.1826058	6777440.73591544	6135432.42559291	5448535.1571251	4093180.26086236	25940779.0295334	23005130.8737091	42861288.5202654	16104968.5582095	12406287.8058386	5071498.18523458	9825772.44353587	112066138.381566	9490654.93596732	18662879.1571272	46993452.6217509	25647116.4705708	33455631.4623872	20888093.4498781	47439032.0981523	22056775.9043834	29616271.2585883	52380593.1809964	135846162.737221	53344435.9467728	38139270.0114236	76172222.6363512	192910886.0391	33463445.22373	34426610.571643	23280501.5555061	42386966.4624384	58901222.6125416	91439592.091638	40235908.2386978	54852395.5718536	40328506.7930128	38385401.7739274	6198192.88903957	20624487.0690385	31442013.6590045	9274723.00743734	25802623.9840834	31696249.3826909	18906653.2275007	17736008.5085853	16455273.296137	13785154.9942496	22106923.5626248	10184265.994562	32412961.0474051	11469146.7851614	9949869.01643066	28816354.8825544	10682150.681377	13238861.3923165	35907027.2302021	17763221.5180859	1446538.24217194	31852988.0616231	12942295.6211723	18641358.175341	11360485.1429594	18241945.696079	58158685.0076519	24841653.3460834	14636825.9688119	39771378.776241	19033727.186849	6122286.68152017	44155339.4066803	19630871.5153111	4041342.53787072	16690884.2992756	15077630.258383	24568956.9962964	58207061.5184368	113649428.103468	31478808.4528046	1260876.57329698	3272696.54876754	5530770.17151982	177497.763354692
090827_MeKO_01_09_ID006	090827_MeKO_01_09_cmb_ID006	U			1017.4	252.3  Win002_C03	7		FALSE	0	0		42274035.3430088	41448965.0183118	47569174.2418813	54011473.9665826	43552062.1455471	113463474.928158	45469893.6454984	60078477.7514995	66031059.4686716	53276719.4744188	51248453.5363062	57409721.3886881	54005559.4184894	51283819.1430357	105468363.809208	84248058.4413133	87165722.0123828	100589447.739531	103125085.087215	95738749.3236999	115637871.592172	102709196.400724	60452942.8421303	41130965.4743365	55062241.4883369	78060912.6805345	46592551.6948494	53360652.5521771	50161616.956778	64487297.9248369	59764906.7384766	62175961.4124015	53053244.7198924	54713515.7294639	79862372.6069283	56920154.6843953	65220293.1912446	54245317.9784384	79808789.3388374	65864758.8940896	69019214.5029603	64121144.5494092	72017381.2581757	46694250.1585292	59856477.6111248	89276568.1395493	72197220.1866292	60375069.9401331	64185224.6584047	83810606.8962951	89713155.8340297	76736377.9062569	53266765.3745805	80876209.9070881	75022518.4976505	70775410.809134	92813993.9962841	89709943.5767296	68728480.1954683	58250449.3960977	71851542.9198727	65026997.4755382	75598699.4670744	67823183.4122893	71189758.3698603	80172134.6275049	69584798.9394683	69823436.0636564	52662397.0537563	79528603.5475228	70301814.4045428	74589892.9339352	54064057.8044236	71974259.5490113	79516481.3137459	59680527.5845018	70950326.9486116	75163971.7961897	56197325.3556257	58101502.447321	73931651.0152611	65998648.941984	79926920.9221552	62509757.1183706	57297703.6434796	51532535.8575175	55954135.0914728	66487191.1690712	60793174.8994464	55229295.1915995	61627645.6415232	55572460.0537309	119564058.727516	110571588.227619	121329947.348915	110125746.429088	134180761.763058	133191440.397904	115211518.836407	115218516.924173	62211801.7863163	60680435.7748773	67465914.4049926	48492440.449294	53134043.2655137	72635770.5155087	58292815.0063991	65720894.9670185	47504174.3159514	57785493.3300939	82630234.3403272	71962662.9990686	59379269.5076978	71530479.295169	63653630.7660803	67432693.7111544
090827_MeKO_01_09_ID007	090827_MeKO_01_09_cmb_ID007	U			1020.2	253.3  Win002_C04	8		FALSE	0	0		1420667.85487854	1680418.52915462	1060700.33255783	3779933.51244388	783633.20878789	635372.345943835	2834601.95226868	1067764.02969252	825242.066009115	2143439.54523596	2862787.18527708	4408496.29673979	1212329.55229818	774313.463274504	11284261.8326819	7839690.78734	3355156.74826715	3210657.52607506	3797295.62144207	4690435.77332354	3936598.60271503	5475001.72024836	519551.741410308	1146636.68464349	1010317.68829583	4237486.72935972	3691468.20084868	2435227.29098973	233566.644381379	1374489.29835768	1768075.54271699	3595186.60868204	307691.143266423	1547535.94203457	3136718.07486056	6193883.91060924	1600001.75691196	3611804.79311568	1048881.76618094	1879507.80116021	1127023.52097002	404220.494065659	3911406.62964546	9123641.82808383	3406713.49869748	2288214.32685567	1490074.00359549	823564.389276015	211803.451537348	1450789.93669165	97315.6102327118	1186876.90580347	826408.473801874	745749.515899961	631920.668343392	948882.720390089	1092443.46834226	3020110.33560575	1702381.82181129	1004087.05757694	230877.305132809	244176.575421547	1663977.02988992	755789.224525691	73562.1190532012	1509823.35194518	117551.789331406	1803631.10636101	58864.9019284005	714146.520169995	401639.055775925	8931090.81153585	1944537.21971917	1967269.63042633	1737018.83403992	454908.160891441	2146666.93939905	893079.552237717	3796513.24950071	1880279.4203508	3878804.49027931	5669408.19875101	6940473.45183885	3785085.92170328	3486635.97655929	2107331.7994487	285630.865334294	944959.264549216	3002454.24852981	194597.500864008	1691449.44461822	1107732.7704915	170955.744283808	5564462.16777141	1216962.40162286	572339.254801734	2014183.26248011	494318.182771322	3936952.4281559	1128315.76492237	237258.33490483	1654982.30723433	1613742.07964902	817155.359131122	3920620.41916835	1383317.63439375	871783.414913048	2029674.85403544	9819709.31944373	975229.255346716	644512.617821022	1489892.36488636	1261924.29618255	6685603.54215167	3382746.31055174	1551229.40050459
090827_MeKO_01_09_ID008	090827_MeKO_01_09_cmb_ID008	U			1022.8	254.16  Win003_C01	9		FALSE	0	0		22676257.136411	7789469.14957667	6261350.74501358	18415155.3352584	31028613.9681634	13419929.1823115	10282608.3481553	10073172.4404342	23066270.6701073	18529512.9107353	6362466.82252852	7588511.77397651	27536315.4867995	27880623.5290678	17930404.947735	7626554.38257575	79133074.0931224	6613230.84520984	17673334.6462068	21705514.9579754	8828506.77420554	22356742.5720555	42155317.1397893	23282459.364097	45918537.2632155	5619383.1363998	17155474.2350416	22096082.0629354	47274345.596053	53841747.5381748	22634175.2111213	10244484.0713764	52177437.0104194	59390062.9376942	36936537.627635	5916257.09749744	13126768.0875968	8377482.97601236	17667684.9528094	33236083.9015631	51744262.8064234	69013764.0984105	30151070.7262273	9476276.95817399	10094910.0205104	86111507.6374542	43825793.428912	54232904.5033073	103591761.109872	52141380.931242	129033642.695883	78898311.2551656	51108644.3966969	25624376.8345085	52256245.5951807	39162996.3585945	105913935.791761	38901419.74462	54863455.6123316	57871878.8479366	120527829.561408	76866573.5610046	48751629.1428108	39501108.9018267	61443454.1388734	44083420.5514348	51782814.0758762	39639205.8742874	113026225.432231	59905210.3075517	48292147.4792268	8524308.87133664	27710171.1383953	30263849.1119178	16882712.7381733	31173537.9731831	29927340.4277198	45422367.3017273	26762957.7418756	12177835.9469721	25421841.5266451	22631398.6081056	36435390.5714595	22410321.6054934	27391807.2000188	25055911.5401724	67056038.1547609	22677974.977678	14601182.8173757	28860476.7675265	49388241.5799491	3538391.95895092	68512817.4706089	7731497.40313077	59438411.3216318	42219596.162651	36048383.8807484	167410918.880107	21993832.4109137	35333820.8303282	53404122.6605579	42248907.2050096	24527441.2857864	20697533.4663865	23092737.5009658	3095856.92485983	27908525.4747986	30823303.1141193	8429029.36076874	41168461.0378483	81595607.2562787	42394030.1627967	36505959.3367349	2272686.22454836	5491923.5931387	3169526.84155779
090827_MeKO_01_09_ID009	090827_MeKO_01_09_cmb_ID009	U			1029.2	256.48  Win003_C02	10		FALSE	0	0		4881597858.65009	5162772065.46193	3165214107.83072	3546388607.83291	4747175069.10527	3133826683.62399	2803492263.03712	2781316017.82114	2131772032.70048	4465520500.34568	3353669711.64403	3779481838.7486	4985271844.24856	3026255367.93139	8171452490.18418	3627624970.13327	10095897497.0666	4627070846.81417	4601546438.13699	7757542809.01743	4576070971.64234	9899901142.00146	5320772123.83773	2364158781.86732	4601293697.91573	5548783788.46216	5271359978.62827	3104280731.46361	2862435623.64985	5059341185.88513	3112837034.7192	3026768989.75469	3354856973.34696	3909775944.69521	4673011264.31131	4929854882.87635	5318974945.76144	3177602049.57905	2786865093.321	5789846013.6254	3503730662.04051	4498110999.29273	6177203856.54879	4429904025.39867	2525699332.88504	4513043136.29648	4853454924.88061	6069458808.77703	3926414784.97101	5653104382.30845	8392600990.91173	6555853361.89853	3669935526.60802	2367246157.13023	5761235187.19268	4726922646.27708	6888532858.49222	9485214845.58157	7413848382.82258	4591377944.9844	6411023737.51175	4489330052.12911	5653691258.26748	3208561679.43001	3382392344.40542	7336480534.13269	4754005331.87237	8335890650.07112	4365641497.38715	4141347545.72634	3121130097.82762	5585054193.45976	5122607926.73433	4457825970.79018	3816386430.74433	2258788129.73871	4543552209.2615	4767132341.70356	5973429276.53208	2769943151.93456	5245958069.26898	6704368389.60539	7148738073.38458	4774378387.9676	6576486956.64241	4656880602.39574	3152371420.49628	4771470052.64383	3439800005.53726	2032284589.74557	4365070377.78509	1337999729.218	6389423082.92945	4630569599.02964	4391343382.59702	4286382748.81486	4690232699.53825	7901831731.22611	6257695500.77551	3857240396.43476	5779859748.03319	6672074430.81603	5396825138.72648	5171622168.19183	4888442692.14928	2422275804.65193	5402862317.75383	4534481252.91765	4253119326.67998	5682150419.3234	7199928653.88018	8723152007.67421	2612056662.71412	5834244680.60635	4991726633.76136	1272953969.73917
090827_MeKO_01_09_ID010	090827_MeKO_01_09_cmb_ID010	A2		Pyridine, 2-hydroxy- (1TMS)	1030.7	256.98  Win003_C03	11	Pyridine, 2-hydroxy- (1TMS)	TRUE	0	0		147989326.908166	51919123.6649941	250824703.478836	727452280.960193	76952472.9845145	232168714.335371	222872209.810326	612545370.110248	436197296.638142	219478557.908187	413251115.511485	438013950.437818	251504896.54321	783650027.905862	395756625.883364	987923349.510066	223168248.319979	704835116.859286	710007385.559628	694119559.084411	1713861986.62615	267858697.701577	423483991.193173	1357148616.14444	622789351.717947	568191947.092156	550769763.712806	740671458.523448	968512743.750538	673216851.107007	1335400978.19565	2435648274.37114	1641336208.5555	845697938.46044	952171442.013644	591793640.006603	803477651.935873	1449045138.89571	1395446217.28272	999895765.600322	3837617846.61595	1732315616.30941	2331787905.14736	707832903.968725	7191036625.2817	284179322.696022	143553114.064681	195096630.73133	191899337.92114	275830021.624307	148661170.174453	88032520.4329911	290544192.478304	388648160.163649	215707806.218344	167000780.485461	182283331.123913	68464152.5805368	49708761.8110893	215933498.157908	103517115.855179	229414302.39921	232079410.945664	377822478.746136	759794867.075588	451526623.196709	753813389.057494	473628821.136666	387963834.378661	469153192.223297	471695073.727512	857839524.882051	906946107.725597	3674216691.75436	2622873666.20645	2609887937.46001	1279297518.73247	3473419162.32534	1379284694.70976	2486205170.45759	1461191287.29842	827395270.902528	1870518296.69035	2602492560.68566	237113018.631288	269006853.060211	582645485.000074	477923208.766372	450990105.079127	1172717005.88447	276986975.727334	1363067774.98891	158857536.968234	757177297.267974	1119955242.92671	730568983.895776	1019026232.00908	431238614.627657	891748576.071672	1031918912.08877	509642902.954629	768896548.273964	1930401525.66671	1385317163.37986	1572287200.10231	1701288900.47521	1345705290.84874	2073557639.53976	1995214677.84644	1664277533.9369	1269677196.59005	697968791.14163	1911684466.13684	1965721946.32233	2056380353.55393	2433668504.37108
