gcid,weight_mg,gcid2,expID,batchID,samplename,genotype,genotype2,modelpred,model,pred,leafcolor,leafshape,rootshape,AGI,aerialpart_weight
Cont_01_1,0.055556,Cont_01_1,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Cont_01_1,col0,col-0,pred,nodata,Cont_01_1,normal,normal,normal,noinfo,noinfo
Cont_02_1,0.055556,Cont_02_1,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Cont_02_1,col0,col-0,pred,nodata,Cont_02_1,normal,normal,normal,noinfo,noinfo
Cont_03_1,0.055556,Cont_03_1,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Cont_03_1,col0,col-0,pred,nodata,Cont_03_1,normal,normal,normal,noinfo,noinfo
Cont_04_1,0.055556,Cont_04_1,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Cont_04_1,col0,col-0,pred,nodata,Cont_04_1,normal,normal,normal,noinfo,noinfo
Cont_05_1,0.055556,Cont_05_1,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Cont_05_1,col0,col-0,pred,nodata,Cont_05_1,normal,normal,normal,noinfo,noinfo
Cont_06_1,0.055556,Cont_06_1,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Cont_06_1,col0,col-0,pred,nodata,Cont_06_1,normal,normal,normal,noinfo,noinfo
FD_01_1,0.005556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FD_02_1,0.005556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FD_03_1,0.005556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FD_04_1,0.005556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MeKO_01_01_1,0.055556,MeKO_01_01_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,10_01,aba15,aba1-5,pred,nodata,MeKO_01_01_1    ,normal,round,normal,AT5G67030,32
MeKO_01_02_1,0.055556,MeKO_01_02_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,10_02,aba15,aba1-5,model,MeKO_01_02_1    ,nodata,normal,round,normal,AT5G67030,32.5
MeKO_01_03_1,0.055556,MeKO_01_03_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,10_05,aba15,aba1-5,pred,nodata,MeKO_01_03_1    ,normal,round,normal,AT5G67030,22.3
MeKO_01_04_1,0.055556,MeKO_01_04_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,10_06,aba15,aba1-5,pred,nodata,MeKO_01_04_1    ,normal,round,normal,AT5G67030,9.5
MeKO_01_05_1,0.055556,MeKO_01_05_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,10_09,aba15,aba1-5,pred,nodata,MeKO_01_05_1    ,normal,round,normal,AT5G67030,21.2
MeKO_01_06_1,0.055556,MeKO_01_06_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,10_10,aba15,aba1-5,pred,nodata,MeKO_01_06_1    ,normal,round,normal,AT5G67030,25.1
MeKO_01_07_1,0.055556,MeKO_01_07_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,48_01,aba23,aba2-3,pred,nodata,MeKO_01_07_1    ,normal,round,normal,AT1G52340,30.6
MeKO_01_08_1,0.055556,MeKO_01_08_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,48_03,aba23,aba2-3,model,MeKO_01_08_1    ,nodata,normal,round,normal,AT1G52340,35.8
MeKO_01_09_1,0.055556,MeKO_01_09_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,48_04,aba23,aba2-3,pred,nodata,MeKO_01_09_1    ,normal,round,normal,AT1G52340,39.3
MeKO_01_10_1,0.055556,MeKO_01_10_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,48_05,aba23,aba2-3,pred,nodata,MeKO_01_10_1    ,normal,round,normal,AT1G52340,26.7
MeKO_01_11_1,0.055556,MeKO_01_11_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,48_06,aba23,aba2-3,pred,nodata,MeKO_01_11_1    ,normal,round,normal,AT1G52340,24.3
MeKO_01_12_1,0.055556,MeKO_01_12_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,48_07,aba23,aba2-3,pred,nodata,MeKO_01_12_1    ,normal,round,normal,AT1G52340,28.7
MeKO_01_13_1,0.055556,MeKO_01_13_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,48_08,aba23,aba2-3,pred,nodata,MeKO_01_13_1    ,normal,round,normal,AT1G52340,24.9
MeKO_01_14_1,0.055556,MeKO_01_14_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,48_09,aba23,aba2-3,pred,nodata,MeKO_01_14_1    ,normal,round,normal,AT1G52340,26.8
MeKO_01_15_1,0.055556,MeKO_01_15_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,103_01,rsw21,rsw2-1,pred,nodata,MeKO_01_15_1    ,normal,normal,short,AT5G49720,14.6
MeKO_01_16_1,0.055556,MeKO_01_16_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,103_02,rsw21,rsw2-1,pred,nodata,MeKO_01_16_1    ,normal,normal,short,AT5G49720,7.7
MeKO_01_17_1,0.055556,MeKO_01_17_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,103_03,rsw21,rsw2-1,model,MeKO_01_17_1    ,nodata,normal,normal,short,AT5G49720,9.4
MeKO_01_18_1,0.055556,MeKO_01_18_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,103_05,rsw21,rsw2-1,model,MeKO_01_18_1    ,nodata,normal,normal,short,AT5G49720,12.2
MeKO_01_19_1,0.055556,MeKO_01_19_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,103_06,rsw21,rsw2-1,pred,nodata,MeKO_01_19_1    ,normal,normal,short,AT5G49720,16
MeKO_01_20_1,0.055556,MeKO_01_20_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,103_07,rsw21,rsw2-1,pred,nodata,MeKO_01_20_1    ,normal,normal,short,AT5G49720,15.6
MeKO_01_21_1,0.055556,MeKO_01_21_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,103_08,rsw21,rsw2-1,pred,nodata,MeKO_01_21_1    ,normal,normal,short,AT5G49720,12.7
MeKO_01_22_1,0.055556,MeKO_01_22_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,103_09,rsw21,rsw2-1,pred,nodata,MeKO_01_22_1    ,normal,normal,short,AT5G49720,14.9
MeKO_01_23_1,0.055556,MeKO_01_23_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,105_01,cim6,cim6,pred,nodata,MeKO_01_23_1    ,normal,normal,normal,noinfo,31.1
MeKO_01_24_1,0.055556,MeKO_01_24_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,105_02,cim6,cim6,pred,nodata,MeKO_01_24_1    ,normal,normal,normal,noinfo,26
MeKO_01_25_1,0.055556,MeKO_01_25_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,105_03,cim6,cim6,pred,nodata,MeKO_01_25_1    ,normal,normal,normal,noinfo,22
MeKO_01_26_1,0.055556,MeKO_01_26_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,105_04,cim6,cim6,pred,nodata,MeKO_01_26_1    ,normal,normal,normal,noinfo,26.1
MeKO_01_27_1,0.055556,MeKO_01_27_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,105_06,cim6,cim6,pred,nodata,MeKO_01_27_1    ,normal,normal,normal,noinfo,26.6
MeKO_01_28_1,0.055556,MeKO_01_28_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,105_07,cim6,cim6,pred,nodata,MeKO_01_28_1    ,normal,normal,normal,noinfo,26.2
MeKO_01_29_1,0.055556,MeKO_01_29_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,105_08,cim6,cim6,pred,nodata,MeKO_01_29_1    ,normal,normal,normal,noinfo,23.4
MeKO_01_30_1,0.055556,MeKO_01_30_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,105_09,cim6,cim6,pred,nodata,MeKO_01_30_1    ,normal,normal,normal,noinfo,37.1
MeKO_01_31_1,0.055556,MeKO_01_31_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Col_lot4_01,col0,col-0,pred,nodata,MeKO_01_31_1    ,normal,normal,normal,noinfo,36.6
MeKO_01_32_1,0.055556,MeKO_01_32_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Col_lot4_02,col0,col-0,pred,nodata,MeKO_01_32_1    ,normal,normal,normal,noinfo,37.5
MeKO_01_33_1,0.055556,MeKO_01_33_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Col_lot4_03,col0,col-0,pred,nodata,MeKO_01_33_1    ,normal,normal,normal,noinfo,30.1
MeKO_01_34_1,0.055556,MeKO_01_34_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Col_lot4_04,col0,col-0,pred,nodata,MeKO_01_34_1    ,normal,normal,normal,noinfo,31.9
MeKO_01_35_1,0.055556,MeKO_01_35_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Col_lot4_06,col0,col-0,pred,nodata,MeKO_01_35_1    ,normal,normal,normal,noinfo,37.8
MeKO_01_36_1,0.055556,MeKO_01_36_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Col_lot4_07,col0,col-0,pred,nodata,MeKO_01_36_1    ,normal,normal,normal,noinfo,21.9
MeKO_01_37_1,0.055556,MeKO_01_37_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Col_lot4_08,col0,col-0,pred,nodata,MeKO_01_37_1    ,normal,normal,normal,noinfo,22.1
MeKO_01_38_1,0.055556,MeKO_01_38_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Col_lot4_09,col0,col-0,pred,nodata,MeKO_01_38_1    ,normal,normal,normal,noinfo,26.4
MeKO_01_39_1,0.055556,MeKO_01_39_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Col_Jun08_01,col0,col-0,pred,nodata,MeKO_01_39_1    ,normal,normal,normal,noinfo,21.2
MeKO_01_40_1,0.055556,MeKO_01_40_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Col_Jun08_02,col0,col-0,pred,nodata,MeKO_01_40_1    ,normal,normal,normal,noinfo,41.3
MeKO_01_41_1,0.055556,MeKO_01_41_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Col_Jun08_03,col0,col-0,pred,nodata,MeKO_01_41_1    ,normal,normal,normal,noinfo,20.4
MeKO_01_42_1,0.055556,MeKO_01_42_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Col_Jun08_04,col0,col-0,pred,nodata,MeKO_01_42_1    ,normal,normal,normal,noinfo,22
MeKO_01_43_1,0.055556,MeKO_01_43_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Col_Jun08_06,col0,col-0,pred,nodata,MeKO_01_43_1    ,normal,normal,normal,noinfo,30.3
MeKO_01_44_1,0.055556,MeKO_01_44_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Col_Jun08_09,col0,col-0,pred,nodata,MeKO_01_44_1    ,normal,normal,normal,noinfo,32.8
MeKO_01_45_1,0.055556,MeKO_01_45_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,Col_Jun08_10,col0,col-0,pred,nodata,MeKO_01_45_1    ,normal,normal,normal,noinfo,26.1
MeKO_09_02_1,0.055556,MeKO_09_02_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,122_2,eto3,eto3,pred,nodata,MeKO_09_02_1    ,normal,normal,normal,AT3G49700,7.9
MeKO_09_03_1,0.055556,MeKO_09_03_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,122_3,eto3,eto3,pred,nodata,MeKO_09_03_1    ,normal,normal,normal,AT3G49700,17.7
MeKO_09_04_1,0.055556,MeKO_09_04_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,122_4,eto3,eto3,pred,nodata,MeKO_09_04_1    ,normal,normal,normal,AT3G49700,11.4
MeKO_09_05_1,0.055556,MeKO_09_05_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,122_5,eto3,eto3,model,MeKO_09_05_1    ,nodata,normal,normal,normal,AT3G49700,9
MeKO_09_06_1,0.055556,MeKO_09_06_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,122_7,eto3,eto3,pred,nodata,MeKO_09_06_1    ,normal,normal,normal,AT3G49700,16.5
MeKO_09_07_1,0.055556,MeKO_09_07_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,122_9,eto3,eto3,pred,nodata,MeKO_09_07_1    ,normal,normal,normal,AT3G49700,18.3
MeKO_09_08_1,0.055556,MeKO_09_08_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,122_10,eto3,eto3,pred,nodata,MeKO_09_08_1    ,normal,normal,normal,AT3G49700,22.8
MeKO_09_09_1,0.055556,MeKO_09_09_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,96_1,gsr11,gsr1-1,pred,nodata,MeKO_09_09_1    ,normal,normal,normal,noinfo,34.7
MeKO_09_10_1,0.055556,MeKO_09_10_1    ,110106_MeKO_5batch_rep_AndiMS,MeKO_01_09,96_2,gsr11,gsr1-1,pred,nodata,MeKO_09_10_1    ,normal,normal,normal,noinfo,30.8
