Numbering for matrix	Numbering for unique peaks	IIS_I_A_or_U	I_A_M_or_P	final annotation	RI	Win	fData::lineno	fData::query	fData::known	fData::cas	fData::preferred	fData::action	MeKO_02_01_1	MeKO_02_02_1	MeKO_02_03_1	MeKO_02_04_1	MeKO_02_05_1	MeKO_02_06_1	MeKO_02_07_1	MeKO_02_08_1	MeKO_02_09_1	MeKO_02_10_1	MeKO_02_11_1	MeKO_02_12_1	MeKO_02_13_1	MeKO_02_14_1	MeKO_02_15_1	MeKO_02_16_1	MeKO_02_17_1	MeKO_02_18_1	MeKO_02_19_1	MeKO_02_20_1	MeKO_02_21_1	MeKO_02_22_1	MeKO_02_23_1	MeKO_02_24_1	MeKO_02_25_1	MeKO_02_26_1	MeKO_02_27_1	MeKO_02_28_1	MeKO_02_29_1	MeKO_02_30_1	MeKO_02_31_1	MeKO_02_32_1	MeKO_02_33_1	MeKO_02_34_1	MeKO_02_35_1	MeKO_02_36_1	MeKO_02_37_1	MeKO_02_38_1	MeKO_02_39_1	MeKO_02_40_1	MeKO_02_41_1	MeKO_02_42_1	MeKO_02_43_1	MeKO_02_44_1	MeKO_02_45_1	MeKO_02_46_1	MeKO_02_47_1	MeKO_02_48_1	MeKO_03_01_1	MeKO_03_02_1	MeKO_03_03_1	MeKO_03_04_1	MeKO_03_05_1	MeKO_03_06_1	MeKO_03_07_1	MeKO_03_08_1	MeKO_03_09_1	MeKO_03_10_1	MeKO_03_11_1	MeKO_03_12_1	MeKO_03_13_1	MeKO_03_14_1	MeKO_03_15_1	MeKO_03_16_1	MeKO_03_17_1	MeKO_03_18_1	MeKO_03_19_1	MeKO_03_20_1	MeKO_03_21_1	MeKO_03_22_1	MeKO_03_23_1	MeKO_03_24_1	MeKO_03_25_1	MeKO_03_26_1	MeKO_03_27_1	MeKO_03_28_1	MeKO_03_29_1	MeKO_03_30_1	MeKO_03_31_1	MeKO_03_32_1	MeKO_03_33_1	MeKO_03_34_1	MeKO_03_35_1	MeKO_03_36_1	MeKO_03_37_1	MeKO_03_38_1	MeKO_03_39_1	MeKO_03_40_1	MeKO_03_41_1	MeKO_03_42_1	MeKO_03_43_1	MeKO_03_44_1	MeKO_03_45_1	MeKO_03_46_1	MeKO_03_47_1	MeKO_03_48_1	MeKO_04_01_1	MeKO_04_02_1	MeKO_04_03_1	MeKO_04_04_1	MeKO_04_05_1	MeKO_04_06_1	MeKO_04_07_1	MeKO_04_08_1	MeKO_04_09_1	MeKO_04_10_1	MeKO_04_11_1	MeKO_04_12_1	MeKO_04_13_1	MeKO_04_14_1	MeKO_04_15_1	MeKO_04_16_1	MeKO_04_17_1	MeKO_04_18_1	MeKO_04_19_1	MeKO_04_20_1	MeKO_04_21_1	MeKO_04_22_1	MeKO_04_23_1	MeKO_04_24_1	MeKO_04_25_1	MeKO_04_26_1	MeKO_04_27_1	MeKO_04_28_1	MeKO_04_29_1	MeKO_04_30_1	MeKO_04_31_1	MeKO_04_32_1	MeKO_04_33_1	MeKO_04_34_1	MeKO_04_35_1	MeKO_04_36_1	MeKO_04_37_1	MeKO_04_38_1	MeKO_04_39_1	MeKO_04_40_1	MeKO_04_41_1	MeKO_04_42_1	MeKO_04_43_1	MeKO_04_44_1	MeKO_04_45_1	MeKO_04_46_1	MeKO_04_47_1	MeKO_04_48_1
090911MeKO_02_03_04_ID001	090911MeKO_02_03_04_cmb_ID001	U			1004.5	248.85  Win001_C01	2		FALSE	0	0		5897046.44582031	5658436.53336074	11320.4372928609	3301.94482582119	11980470.5377112	4899541.06312715	8781502.91731088	62210672.574645	10200.2199125679	2780595.34450708	1026.54120342284	4023555.2987283	2344123.59912005	5272531.69488666	8528563.82895239	4756.91243309412	6085436.89314492	1238031.92396519	7461914.73711607	6223143.83054867	18745091.9835911	4553686.07300192	4332633.68166499	4948086.67149153	46523851.19152	12678.1655710761	30237730.0903671	24885.595377372	8841104.67240985	23404781.5109667	39643.7035724247	9391225.70665776	12836150.2078146	9907516.87178337	3516786.31593012	3883210.43557245	6746029.4327175	19715192.7206157	17954409.5430941	28620386.4265723	12847693.4660439	8739220.70022729	5632459.42617957	13511525.7770531	2277867.0843482	4900075.67290205	6778907.18354685	11250956.9066502	16249404.6245457	1282865.06758045	2105853.45798198	1142783.17627224	9156.21316202058	6005769.16757093	4133700.30903097	9997830.7991929	5596646.74392059	6105313.43730941	1805618.48573282	889915.327841433	1041378.52094992	1387.16852188486	3264232.85739151	2780574.07028447	5150900.91921523	2761918.02834342	1595094.98983524	2834011.55593685	8980.60348379944	24134663.3973241	2148194.01467987	10690967.2665994	1646510.64712752	9416626.6267425	4261032.17279378	6968944.84198723	5252008.05245932	5314482.97370888	1108.55800535201	2114882.49416628	11861077.1125822	9571353.97006344	7849187.05166436	3545676.85866784	13213634.3287789	4495845.32916577	5807959.66063765	10173114.205144	7413417.61998093	2673327.92866871	10040209.4094736	9531455.33493542	9679335.13775991	9863545.53576791	13386402.8475125	7390640.44840646	798645.594171462	935223.121431725	3812943.33389355	9073379.38658029	3.0462542036902	5114359.88796942	5741926.53157949	8255827.01985782	1325082.04451121	2623038.59195629	8804.97476241143	3228023.32271185	6.9067484807119	2815055.85542334	8390.82860304903	883608.260630059	5671488.61646004	3739457.23282826	20391351.8937381	3638822.88893344	4325971.05987974	1917213.51489948	14770873.0329097	3404324.59539079	14709354.2480758	13107862.051721	17924877.3288433	6945952.98343286	6321689.00606227	3332877.10139095	2240936.98729975	6885666.11600243	20272355.4027879	14257595.7489035	1643315.72484201	10875146.7613313	8186610.81375913	12450793.1395162	6149253.24112913	8582650.15447928	11408361.9009116	9761340.08056049	4951828.3010987	11930754.356737	16688128.2336632	12264940.2354501	1230028.29445107	5378077.49030764
090911MeKO_02_03_04_ID002	090911MeKO_02_03_04_cmb_ID002	U			1008.2	250.21  Win001_C02	3		FALSE	0	0		11656806.4665448	11714451.8618061	4974501.76381649	7218135.30416017	8505233.57070023	13282761.9826841	8117550.62863651	317443.958434299	9233449.37111922	9690996.93941252	16113423.6066372	22775794.5331925	19296966.3415276	22510008.0768659	14509895.2971294	29189864.2182839	9494608.88842978	13157844.6988245	9219334.98692832	9483983.62329208	18251577.2919549	7228426.82442222	11369982.6692979	7919815.62279858	12435152.597212	5879436.30743497	6048551.15037649	1346073.67346161	8313261.40071362	3034208.05700417	10140471.7994422	3137509.29917906	35920621.1590658	12686716.1595582	17309387.1882781	16198148.1475852	17812397.2165767	16384116.8512107	22106038.1046326	26582347.9499993	25111786.7367468	17854505.0897863	11528436.9599106	20526432.6458593	28959237.3646462	25009026.3592923	23731134.8255294	25401343.7499234	19728718.861293	7287772.75687862	9115513.9542216	5068544.35190334	7816996.80044966	6382749.85510133	21993215.9529473	12024994.8875306	12533327.8878709	12710752.488502	10679309.4484269	13480849.2756015	5459389.96692545	8862602.28996837	15050841.3689962	11708453.464835	4129963.68927168	15442430.7279485	6846166.89245124	17490367.1311718	11490385.8218397	11089788.0175034	15803682.5402961	17120118.3701144	8066582.66474647	23144807.9529776	22325351.5414391	21808198.7620961	5802452.64456481	16133988.2887604	15412331.9329218	22635800.7739264	22961802.2798055	17454816.926197	22340412.6326717	22651593.5970313	18028379.9375993	14515376.2591837	23319875.3524054	18392994.5706962	11237211.3539156	9910080.73980933	8989766.84307306	17442248.5940206	11366171.5641621	9838929.79693216	21190850.3707636	19177238.8465041	4556503.91523734	10042731.0272283	9538472.2950293	17659824.0545691	7064548.46587116	10670141.4473868	14500892.4280624	17147245.5548185	9829277.12805632	9355495.38859423	6250616.03601985	7789084.55377184	13643797.4678657	7094814.60895407	10487386.5962877	6288458.11213893	12060726.7723838	4547476.7418443	26688906.9620343	12730357.7699705	4159103.29899984	6026555.38840137	15925506.3581437	16338221.9812669	12859971.8327041	18565860.6232077	10376306.7669348	11105871.8206747	19053176.0058059	12492028.4584393	5905151.3875278	8639212.04190844	14167000.225063	14648106.1846085	12557117.2933623	6940037.98417307	14509240.4029288	9760520.96097761	12292494.5785347	13085509.7338004	6513260.99315257	16663556.7874926	5644232.87121071	11867766.3389022	15995406.9433224	8622801.90031229	7345817.32970415	15869009.2571959
090911MeKO_02_03_04_ID003	090911MeKO_02_03_04_cmb_ID003	U			1009.6	250.74  Win001_C03	4		FALSE	0	0		18118353.3023729	19497487.5554577	684167.849895927	12036339.1945925	14653327.0243802	19170930.0593181	5871668.58216741	115.95828617795	37014076.011858	15145115.7765484	71469551.5150291	25000474.3625703	18060675.2038156	16493539.0145247	17432931.0543418	20642411.0757296	36160028.6861629	50251103.9037883	3717902.32565836	19061273.2429237	13511816.5434784	2179098.93610317	48019102.4125485	18304909.6681204	5124484.44822481	11979940.7772677	28427504.1100704	0	3498975.68248232	18286306.460225	33538.7052342734	1193058.20395535	43006456.2677061	52542143.197999	35469352.1003568	25559409.8671596	30146546.0518771	33109983.3571805	45723219.7633606	36355977.9502882	54072086.7617618	27847194.9136981	12657921.8321765	24869218.7401092	61172888.262758	25173302.7700456	39729405.8302611	34821542.8705927	69379545.391434	26261620.8941335	70837357.5927925	5328069.88077645	20791909.0319355	9556643.6831869	70163443.5404117	44480306.9269621	37767911.7515967	9198720.57701206	66034805.4167296	23003609.726545	84965358.1135999	9461521.68914661	30468496.0114979	42000944.2601077	15442267.1315744	75673406.2540661	47116107.1459419	64900082.5554569	31744316.7037329	39664537.2661555	43372324.3558279	35149896.2844843	56449261.7675666	75276253.432652	42201638.3138898	50153629.9655165	64064804.702149	148022491.363026	22206663.8316327	83879626.3202991	87872152.7294722	33062628.1283996	116494901.926304	39340231.8382333	81991100.7882458	34419037.2236775	92957415.3298759	38788516.1775301	67272404.899404	54200013.0593963	44536043.9009704	24546830.6779981	32561904.8625169	32086188.5361353	41171544.0486005	27674213.1534879	1164165.35028821	9420064.619864	11604220.6872579	22230636.8238071	5386.36107390872	24520082.7033398	12048095.2354929	54254511.3568368	13267306.815097	10461826.5029515	18495420.5080012	6143620.5600285	18623560.0590323	31125418.2383143	67294013.0947251	20560556.7288726	30243154.6121193	3275353.34522707	49667648.475673	19225560.413611	36976162.442811	33932457.8617124	89697653.2825064	28026970.2705368	13905737.8709602	28480118.5840151	12293473.2778552	46132734.2388982	15403525.4936894	56758758.3014034	65179925.4100833	18910021.9803184	84315739.4602475	59953473.6969236	7361094.08177641	18662119.1770582	24045421.8236457	82718787.8796002	116843079.276314	20685984.4898034	70948662.2871707	84141580.5583637	55646747.7521354	19455678.3669478	102866119.832888	97086276.1820434	4950419.58224802	10546720.1569759
090911MeKO_02_03_04_ID004	090911MeKO_02_03_04_cmb_ID004	U			1015.8	252.93  Win002_C01	5		FALSE	0	0		37698493.5999566	45686973.4156314	6686317.24856784	15751415.9489607	19890609.795348	21834166.5036521	25297861.3052237	180126052.939656	11957511.1804494	10411359.916252	8916802.47212405	13301389.6257456	15688528.6278338	24191194.9943728	31301746.677796	5219664.44531656	24597715.2358572	16712432.8636001	17155939.4401952	28555250.0890285	32407579.21066	22431296.8686247	16605788.7989	21662358.415137	62048220.816138	25507242.1071307	45391640.7962973	8774464.39782885	21208234.2277691	35051182.0782535	22498720.7673436	36404774.1074336	32169431.3186175	16369100.8582485	8532480.77300543	16074865.3689021	19546679.2076501	30095193.3208363	30612165.1354505	33576050.4474278	20571980.9122237	22252134.6452031	16253011.1849816	29955617.4814482	16167177.9959579	15352450.7283369	22062605.5741793	28106769.6184553	26246714.5731226	17216622.3903144	16042777.7930662	19290992.7256154	6858276.58097884	9099551.49346865	31444418.3555129	19178102.8759948	15281900.5632641	18000016.541688	15676710.2164287	13120373.9047156	14641833.652034	11294504.2889549	20260715.9319585	10431763.8649966	10208527.9800944	65797192.2963847	17368341.8783253	16799469.0160388	14357452.0487088	20895066.4854418	15984812.2572304	30531481.4106719	15188931.3357348	22132699.3779028	16580850.3428882	17340917.9679199	17755742.874975	20758551.949069	14563038.6655203	17904332.6700792	28167043.8441878	28930085.8565535	28765270.608591	11380298.0173926	24933760.2094244	20521832.7145395	24201497.9065157	32215583.2826093	23849984.4882518	16270004.8037951	18346029.8449163	69124655.3345186	61164238.1858742	20394839.1656576	19734370.2707639	21401237.1787358	16932869.1395245	14072090.0081037	11796656.5616602	20151583.1365581	4989746.19976139	16566188.9008615	15649575.5020503	45532349.9708897	10847151.2810493	18717167.9779065	6144130.90659595	17544125.8464948	8786728.60110552	11661408.4853166	7311201.64514845	10192346.092594	50489362.1997381	13810451.2296956	22136936.6855332	10147001.1187439	13269216.3302313	6412853.89533517	11252703.3046154	72192350.5764503	14182206.4670317	22476225.9690478	19060260.0667153	21611691.8427083	19630528.9854674	12476940.1323421	11718848.6882565	17187802.1595681	27654434.6218413	21744478.5038188	10743452.6479087	22474985.7670493	19510623.4825349	14196076.9588475	15554847.6077841	15216892.7280144	26471920.5902456	22515929.2991085	10379804.7593964	24570738.4883058	22809816.3074245	27232672.5021625	10441021.6287229	14444002.1461765
090911MeKO_02_03_04_ID005	090911MeKO_02_03_04_cmb_ID005	U			1020.4	254.46  Win002_C02	6		FALSE	0	0		2299563.16247895	1687341.37917226	29166628.9883492	19468387.4168639	2624692.78368298	9077030.17574291	4019608.06794471	775402996.139357	25543480.9219309	10293171.6131014	84296659.8271114	25490467.5963422	14044165.4135435	6739046.72106029	4391214.62839728	6300061.66699057	8863901.36512921	23954140.7151907	3198380.30332956	851468.646269501	7587440.92794482	6510765.58846915	15204379.1648191	10764893.0167879	132296.155431943	6754469.43445658	392922.125616323	0	65687804.3765388	2855193.05663895	4868667.04066947	7280530.34619916	2180067.71433864	10640616.9639893	16524234.8009636	472639.268140688	5686972.91747773	854920.882539757	50700.4417667395	1568029.79078043	35985.0688708779	6115797.82873552	4205859.12281116	4278088.40898293	6986984.9727028	10052732.7885362	1796373.63591264	3882967.33926566	2822609.62381955	8337366.86878475	7632095.47298572	6329656.69031445	23664444.9178228	8762188.71934898	2223119.19295413	514204.422828519	559443.692873574	6129616.03257251	8461584.62059971	12278005.5993832	8928696.50167092	14195378.0544065	5423398.31083152	11486701.5260564	10702276.7205713	5617484.76366045	6127871.63267514	9007487.86889066	15488836.6582927	1527442.1921531	10196583.156347	1457994.72499426	31508091.5022319	1642705.04254689	19845125.2634437	5399962.38105963	9166642.01563272	5377970.88109395	12656760.9706751	11037205.6812013	2910711.36532353	2960299.43292592	5043938.73213493	6094048.82695917	3585973.669882	9314383.46878026	8858130.87957071	3267535.04874332	2349420.36246825	7297962.74856027	5507932.26630247	1732589.21010748	1204379.67858438	3841471.07275524	3941747.87814714	901950.985770741	2325251.37907951	5290039.8090223	4797053.43454731	3642992.83130249	21874045.9861837	11472430.0805418	1546797.6416614	6320907.43398411	18029166.5420579	9328947.11367915	44213195.9234968	4450109.84091166	20800564.9672696	11542274.1199523	46991351.1662068	19340716.2025938	5475999.63437545	6087402.66112001	4158641.825396	1442917.03536526	10337034.4955436	27516066.0478912	4468897.85478777	1863557.26725055	479371.4015267	200559.751006285	751662.010015373	6116351.39804508	580578.129536751	18333986.3886618	29808209.0847757	1557724.32472085	3116494.83192961	3154209.2553148	6749629.29805685	6146002.20906296	1666414.44809075	1778610.39640957	16259907.1847393	1394851.07691309	1181155.46602839	1573364.59101672	9896646.4496872	1340285.68324716	1618539.63733667	2879859.81093703	4292413.43028941	1831101.26735384
090911MeKO_02_03_04_ID006	090911MeKO_02_03_04_cmb_ID006	U			1027.1	256.91  Win003_C01	7		FALSE	0	0		2231910279.84321	2185566864.70222	490407715.802189	825584118.001431	1778399514.78141	1686122767.18605	682183931.316711	180937169.875997	400734489.495851	288036325.058796	241282165.798942	860662394.374921	1254911136.29576	730184689.654667	1130748818.61358	306510639.18065	1046382029.30845	571964387.921018	1330160665.23087	924525426.200832	973050128.028073	221019822.32797	567222230.662944	1082593698.75414	843099251.475513	677621986.08804	549342972.322685	245613964.221401	1186162625.49495	959342147.542737	495892818.926853	754872990.737189	949411043.934334	564054750.133255	514160007.473635	1030448988.63794	923715481.339663	3360204433.34463	1920287803.92117	2007464036.99899	2008800668.23311	1775624031.84133	1302813470.08657	395541727.539769	2039885320.22626	1170035913.30073	966076787.894027	1043080491.33801	1011197851.52516	542474120.112644	800734038.853318	57450477.9477848	176798695.75949	1826566006.54647	2219262426.87052	904443683.858168	420583495.603122	187938129.738336	1015364892.82521	293479067.264687	735677676.687217	88467587.9150883	345340308.280202	1184443520.38803	1357554491.95216	2738182386.91969	1711434446.15826	1446417827.4589	706126762.185237	2901726430.81029	993682263.931223	761522996.14854	376105177.451115	1800554039.63357	856829870.539523	1122122111.80932	1442932276.10737	1106886130.77318	133240725.277916	458777881.877125	1895138767.6164	629460593.975087	1504957264.56331	644991982.060263	1810055201.06906	1171623821.25885	1649835247.42647	1123230219.28918	841626769.841027	1425542751.62634	2295558996.56758	3509485734.97759	2788653346.21227	952384587.15673	2405887755.26173	1178219634.87094	0	10275754.0200787	190755150.244128	344635932.17274	98776212.5228054	882451500.439509	370742972.648747	1958452685.74473	134752024.922445	86465903.23347	138398294.479045	233251650.599008	69523019.9241511	274027881.240749	185266700.98659	32975677.9943178	1518441402.73201	179671423.30245	971734194.387305	575646900.845161	791947423.564182	461275886.251078	772514380.762753	3727610128.33154	2183254592.92766	2125964022.27658	1658289990.46483	1463714317.72688	1424896864.76842	759074085.290365	465643172.284711	1253150151.67528	1705839820.63413	2251623124.22646	543521869.352206	2280699888.97846	601170858.067384	1135412793.03127	367094410.18191	1060406821.00656	1239141300.09453	1815117966.7043	1051053546.82665	1345309101.63457	1666674228.17701	905872723.439384	270690200.064002	913412104.088386
090911MeKO_02_03_04_ID007	090911MeKO_02_03_04_cmb_ID007	A2		Pyridine, 2-hydroxy- (1TMS)	1028.3	257.31  Win003_C02	8	Pyridine, 2-hydroxy- (1TMS)	TRUE	0	0		342448389.147184	161169192.144377	537442491.463272	736655451.174596	710064919.945592	852479576.554255	620951578.956282	132900.790203224	1382932718.83109	1403111685.39807	2027845132.92338	2994882644.27752	2035301750.42541	1764639371.77072	1459180765.29868	4103658587.22792	851235400.032566	1087791621.67831	934715466.907222	1169576154.81501	3325203805.2282	1733103683.60526	1182389812.26431	1403751832.13053	2665880533.20532	943636911.308902	1342591295.32399	705938256.868127	799259630.394013	577313670.592521	2533081142.09337	695239433.789382	7952717826.89962	2484112609.15711	3259045737.4765	5233591167.13247	3619825103.05474	3454480455.41428	4150280850.05281	3434534673.82463	4455021851.6991	2779987056.94197	4618765730.90135	3306723464.95669	5840846258.77216	9007721018.01698	5662540066.70353	2932568681.24692	4026332799.79211	1332582409.10663	1801322065.37089	875589228.576323	1280507739.48012	925479461.617572	420834164.862332	2163127184.30967	3255463241.85282	3163605487.17439	2052998720.83559	2612542600.63162	1890240910.95945	1271455281.62308	2329551226.80271	1380409031.0293	1084703276.66847	805430807.363044	1245171033.09295	2305216683.61773	1934760217.97207	3561388928.75264	1854646318.93307	4594646342.60926	1730040042.06235	4300819889.24705	4742223039.50273	4153414306.59064	1914811392.90883	3264712926.87601	2167559924.24862	3965408723.36984	2925276106.65573	2381698258.33387	3330718869.25002	4912475437.03678	2423871763.71255	1595820607.66109	2706076075.88397	2276852110.69616	2428416695.39653	1169152722.14942	1407507311.73893	1101658880.0296	1037907291.30914	2528781046.4417	2993710271.03843	3650601458.96773	845741722.819159	1193020958.4303	1341821767.9502	3072404586.84349	1359768082.86881	1636475221.02891	2689084283.74498	1218498231.50037	2713676734.39862	2716726639.52047	1854205291.96659	1536966637.96962	1648561073.56926	2087338935.31686	2903220507.12571	1869715299.98436	603216989.960363	1039020807.48517	4616658206.2382	2968719029.50291	1598210013.50689	1104161535.67043	4285487145.53683	800612472.185486	1618366034.48874	3201681161.53721	2603309144.22576	2076627003.98056	4167835554.79113	2069405765.48612	1469530723.97768	3085035329.76237	2291605010.22884	2621222736.13532	7000053793.2858	2711674241.41697	5064683555.12828	2740113476.29669	2278228973.82371	4432269059.32121	3086646731.30241	2831611532.34154	1260926397.61695	2033385860.86272	3426280534.71679	3805554095.07409	4923149103.70369	4945014822.26313
090911MeKO_02_03_04_ID008	090911MeKO_02_03_04_cmb_ID008	U			1035.1	259.67  Win004_C01	9		FALSE	0	0		21742334099.7977	20431835032.5806	11375038675.5382	17758491379.0216	23783028946.512	21136387847.8143	24961313812.7901	42686789069.8729	15944349643.7674	18582249520.4308	12007542158.2789	15546554105.6149	19279578374.2247	17918474249.7044	22760688034.3228	13186620198.2002	23312530868.1814	15166569624.342	24124957701.4069	21237501782.6313	16521111548.9297	21821352799.6302	16301183208.8912	21348630127.8193	26717621519.9028	21153388706.135	24833239561.1679	16543388752.0055	21913043804.7706	26180511662.1621	17998869429.8079	25379297617.8822	28364167097.7435	19869929699.0632	16532609765.6372	22881367025.0975	26137322418.4571	31824142096.8882	24982114188.9756	29231736589.3188	24600592633.3196	22447575334.6673	25596066109.3602	23371744898.917	17936205011.3165	20450923591.5074	22344412948.0232	21761407117.0392	29043888521.4363	21571627739.4008	19378753121.1628	19066558234.9637	15335145677.5709	21035191090.2449	22815279022.8909	25004275027.0461	18794905851.3671	23146797234.9726	17435084983.2078	18057758011.6007	18974299526.4318	14579405352.5863	18416322891.5644	16533443183.4868	19674265247.6593	18809257131.9664	21050526500.8214	17657908718.0904	18318132801.4527	25277419545.4631	20262832367.7695	28879596456.5353	17502848141.2939	22505474158.0059	20512086373.7328	19069370814.6995	20354593727.0339	20656283497.0113	15183550494.5173	16686097137.4948	25779502349.694	22753436693.5336	21686231987.5738	19541872207.9999	21873706407.4905	24238556501.2785	22227645387.7408	22765137763.9479	22134308395.4733	23690000503.1539	21308311362.9611	25357178683.1887	24878534371.246	26603831405.4049	22158901264.6582	23990882440.4418	19681416227.7172	19785313168.6827	23019456661.2098	25744402191.1511	13032788422.2574	20282749602.6438	23611460560.4635	20810686862.5776	17845419827.7541	18899388510.6673	14263529321.0745	21842603705.6532	12612905605.7437	20232884812.1085	13906234299.4412	13693616503.0607	23155254365.4135	24580877382.112	25988920612.3836	20993172804.3111	21745523882.2799	15877397133.5808	22881858323.0495	22158702146.8121	27406742897.5326	25219310290.0662	25382708495.3257	22904329802.9248	24861635477.2499	18319243198.1964	16493735151.9764	20333336217.3105	27006128984.1914	24740339533.3704	20495832733.2919	24943202041.087	21341308704.4151	19658105174.2106	15852765550.1537	22211984071.0101	23902543320.4129	21359769312.5612	19971676489.1589	23748712596.3337	23091188376.414	24131583211.002	17351595890.9405	19540232214.4013
090911MeKO_02_03_04_ID010	090911MeKO_02_03_04_cmb_ID010	U			1045.2	263.32  Win005_C01	11		FALSE	0	0		1194741590.98094	2037773140.31154	391697169.83257	925714262.005374	2829648849.3736	1669241833.15047	3277013030.45885	4479989419.38461	363027031.816169	591665352.038663	405913407.583162	778258596.847142	1371440431.07621	1786790224.07447	3133268178.72227	109186271.108993	1569435566.08006	1083133118.77336	2975807047.07035	2175119776.13633	2506604003.4913	3419495209.00742	1692671087.19483	1912668979.08288	2441600663.76124	1171271482.27562	4749171811.10763	617999417.605861	2185840331.39266	3402713532.51258	424507681.106769	2323750703.63373	3967488482.9173	2903822690.49518	1110333356.94684	1498512724.58403	1680249758.26203	8923972780.69923	5229936099.62945	1983371608.75797	3248974378.51431	2013158719.03145	1026996821.92689	1431825305.36205	1059434458.73349	1165955235.44308	1679594210.60403	2028168337.04272	1376039614.96594	577213170.47417	904029579.576324	349884847.779156	147691494.336487	1508279371.37218	1568622124.96446	1595971637.55719	765118666.53991	1543416465.61362	674444612.445181	901779684.43955	523083609.983164	148744322.857908	598383910.703468	934107133.476295	965863926.015819	1889507933.6315	540036382.403162	617552008.6197	589472605.433813	1560109860.4058	746953696.035172	1570816479.10424	605456423.290484	1331478938.07758	691544406.630865	765792968.516684	1178984905.97656	1513236312.22483	504235829.406438	314290300.578701	1090643235.22132	1979856473.26797	919444473.363366	681656987.826676	1027957570.18081	897155827.608731	782407578.591507	1164424490.19261	1551814009.80273	1004426162.67443	1144122285.15577	1157341440.25336	1648041073.78928	1364562408.70308	1569967840.54312	927183612.802853	715624707.982468	956442318.714491	1297662078.52077	1707190449.94947	93933429.0849425	788411724.075714	883040316.893845	818443353.403031	572073304.409792	629842563.821838	269636126.659163	880072269.147436	202232206.938376	800766578.925371	391181055.926462	480250548.305612	1235550674.01665	1158068306.66996	2352818223.68297	983978397.044003	1125123246.03196	591063498.045316	624510639.353019	1627305279.27608	1848957307.01649	2389560987.28817	3298210648.38427	1578808319.38533	1987383848.59383	974347964.5629	636996331.053763	1224451755.64147	1630522767.48526	1215746427.51122	897365172.136852	1970599111.96683	852235533.179528	1571736444.25689	726725087.217414	1868150834.73469	1574971971.30278	2402253546.38068	886772265.736344	1436826518.96826	1781189929.43416	3705514091.99806	588261061.664886	847353630.954348
090911MeKO_02_03_04_ID011	090911MeKO_02_03_04_cmb_ID011	I		Glycolic acid (2TMS)	1048.9	264.58  Win005_C02	12	Glycolic acid (2TMS)	TRUE	33581-77-0|996-23-6|79-14-1	glycolic acid		1989648295.25818	1940432865.03221	86400798.9023007	1350393579.3873	2193907963.07075	1549614646.24002	1234317339.32091	939938632.286038	494623097.140372	623144296.142823	343142484.119072	912386803.746634	1084896908.1568	858303075.959824	1872200273.72287	296460991.031709	1494117417.68551	441785279.099303	1749362284.03825	1249450719.73979	1115786552.69018	441322741.5991	600354887.912908	1406142405.22536	2026845236.12278	720040644.423211	1274069116.34152	471320566.238619	1280650390.8514	1900830570.11032	1148070805.28878	1268852233.81549	1308914981.52877	675917269.499445	711069244.874664	1604179956.90238	1338209574.9941	3487046808.92491	2158658549.82482	4831769536.79754	2391178440.80711	2430060526.74952	1835603018.19289	1755805801.77364	2035341990.09777	1612257922.30936	1424949067.09163	2614082415.42394	1464654667.42935	1096050828.62626	895254988.960551	49172039.5257995	499183672.290827	1948974217.99278	2181347572.59634	1216393051.30871	772051203.675114	455811978.505606	1194099752.97766	532700465.463013	1135096063.54567	414934763.145058	1087754138.40982	1239383480.82435	1708457745.22541	2188253063.17509	1810453485.52442	1344298136.72219	1107096654.66087	2754141853.8514	1507892375.45901	1192280632.50759	864658474.802592	2068197931.75182	1358512654.74339	1191633328.22812	1442646798.56409	1366009896.01027	399875169.884424	582793730.702711	2857021709.62519	1388458900.34409	2117660758.6851	1124487858.20475	2191801218.94772	2087435510.92324	1908403247.07094	2627271219.36941	1536033134.22821	1696460914.55228	1957920968.26333	3169414053.83688	3041562486.41961	1511580723.74728	2448906746.86908	1647098871.93314	93191948.1456288	71795464.7985773	450700086.24631	631397733.857644	78781030.8875763	1258832628.21534	749255607.179462	1763899467.22065	282160092.57065	361628296.350319	310344467.555217	822823341.609453	136070768.027624	547453848.160764	254628825.761788	244385938.155316	1638403595.43722	448769348.858152	839259076.924027	1025715619.22081	1399657053.17887	604283450.930128	1532878175.62388	3420514512.41141	3169969267.48788	2541962208.34523	2207043515.71762	2277561909.27591	1909966661.51518	1028014150.23301	913239859.806698	1828619466.14193	2983651544.93634	3063881688.30668	827690399.79813	2827842587.85388	991735608.510618	1369974495.97723	699379750.613302	1495511859.27961	2328592982.34465	2199031605.23897	2249659610.02504	3404190849.93963	2202817559.18955	2484912375.21255	551521412.219561	1106774167.71485
