Numbering for matrix	Numbering for unique peaks	IIS_I_A_or_U	I_A_M_or_P	final annotation	RI	Win	fData::lineno	fData::query	fData::known	fData::cas	fData::preferred	fData::action	MeKO_06_01_1	MeKO_06_02_1	MeKO_06_03_1	MeKO_06_04_1	MeKO_06_05_1	MeKO_06_06_1	MeKO_06_07_1	MeKO_06_08_1	MeKO_06_09_1	MeKO_06_10_1	MeKO_06_11_1	MeKO_06_12_1	MeKO_06_13_1	MeKO_06_14_1	MeKO_06_15_1	MeKO_06_16_1	MeKO_06_17_1	MeKO_06_18_1	MeKO_06_19_1	MeKO_06_20_1	MeKO_06_21_1	MeKO_06_22_1	MeKO_06_23_1	MeKO_06_24_1	MeKO_06_25_1	MeKO_06_26_1	MeKO_06_27_1	MeKO_06_28_1	MeKO_06_29_1	MeKO_06_30_1	MeKO_06_31_1	MeKO_06_32_1	MeKO_06_33_1	MeKO_06_34_1	MeKO_06_35_1	MeKO_06_36_1	MeKO_06_37_1	MeKO_06_38_1	MeKO_06_39_1	MeKO_06_40_1	MeKO_06_41_1	MeKO_06_42_1	MeKO_06_43_1	MeKO_06_44_1	MeKO_06_45_1	MeKO_06_46_1	MeKO_06_47_1	MeKO_06_48_1	MeKO_06_49_1	MeKO_06_50_1	MeKO_06_51_1	MeKO_06_52_1	MeKO_06_53_1	MeKO_06_54_1	MeKO_06_55_1	MeKO_06_56_1	MeKO_06_57_1	MeKO_06_58_1	MeKO_06_59_1	MeKO_06_60_1	MeKO_06_61_1	MeKO_06_62_1	MeKO_06_63_1	MeKO_06_64_1	MeKO_06_65_1	MeKO_06_66_1	MeKO_06_67_1	MeKO_06_68_1	MeKO_06_69_1	MeKO_06_70_1	MeKO_06_71_1	MeKO_06_72_1	MeKO_07_01_1	MeKO_07_02_1	MeKO_07_03_1	MeKO_07_04_1	MeKO_07_05_1	MeKO_07_06_1	MeKO_07_07_1	MeKO_07_08_1	MeKO_07_09_1	MeKO_07_10_1	MeKO_07_11_1	MeKO_07_12_1	MeKO_07_13_1	MeKO_07_14_1	MeKO_07_15_1	MeKO_07_16_1	MeKO_07_17_1	MeKO_07_18_1	MeKO_07_19_1	MeKO_07_20_1	MeKO_07_21_1	MeKO_07_22_1	MeKO_07_23_1	MeKO_07_24_1	MeKO_07_25_1	MeKO_07_26_1	MeKO_07_27_1	MeKO_07_28_1	MeKO_07_29_1	MeKO_07_30_1	MeKO_07_31_1	MeKO_07_32_1	MeKO_07_33_1	MeKO_07_34_1	MeKO_07_35_1	MeKO_07_36_1	MeKO_07_37_1	MeKO_07_38_1	MeKO_07_39_1	MeKO_07_40_1	MeKO_07_41_1	MeKO_07_42_1	MeKO_07_43_1	MeKO_07_44_1	MeKO_07_45_1	MeKO_07_46_1	MeKO_07_47_1	MeKO_07_48_1
091002MeKO_06_07_ID001	091002MeKO_06_07_cmb_ID001	U			1004.8	249.11  Win001_C01	2		FALSE	0	0		3028728.28981672	4209547.19924983	13146046.9982409	1628568.78376866	2734058.60530914	8494787.14476036	3945198.33732678	4733295.66092671	2922252.88636207	7573620.90160528	9987926.6551601	2952932.54554911	2170527.54223794	559.97147346669	7263458.13854335	2037492.50899428	758717.778544892	2799975.65579094	2453288.62135695	1353897.86504312	4975813.93608217	2959376.36318068	13914785.7085505	195.295531790935	6293971.22364975	3918148.78363685	3474748.27656615	1477892.67399545	3496676.1820005	4815522.41993777	1660163.95337823	699206.735380209	1778599.10505262	5442019.33778118	2940868.44678825	4151554.93600999	2660015.24463438	5066593.47256775	1486676.92795125	2953687.01157362	1071648.01298474	2779758.22011428	2244902.97532044	5534874.85238974	3747440.8691402	3366978.24581634	2140307.54680098	5260136.22020429	7484331.95293738	4779203.79577694	1030805.06979492	1429461.4888747	1552594.4683201	3357010.04872897	1841190.91135985	8131313.72474688	10562091.6405383	3607718.9451016	6307592.05693934	7080010.8420069	1718747.65410814	10209920.2595825	1063742.54039404	3377927.97658839	5349843.60449452	6827708.936687	2256810.16477014	5995752.38342754	2107712.37080373	3694945.96147739	1051084.74837961	3023271.56006883	907431.234373041	3251001.88434644	4856384.97728515	796466.94435209	3078928.62845694	1760536.72829722	7693342.07359924	11092075.7264812	6649580.16253455	0	5958323.68610951	2988629.0804115	2512840.58251619	65.6228865733239	8097104.86983289	1875020.50867581	2900285.71744858	216.265170783615	4517295.00240349	12445664.4142052	1364589.50286871	5009790.50375575	10905298.8229526	3966558.73695367	3495788.91014507	689.221510936633	5036416.24678807	2482258.92889837	9929310.10092708	3576932.99174786	6058341.3263066	9063482.59098605	10137110.6813616	1552914.68074615	1551058.63026773	3871632.2671841	2738017.15735089	0	8837529.31334825	16440472.0500678	2781815.56989542	3213128.45828464	813723.232365858	13156985.4170281	8463704.55751226	18396976.9805368	16741079.9907611	12649856.4052974
091002MeKO_06_07_ID002	091002MeKO_06_07_cmb_ID002	U			1009.4	250.67  Win001_C02	3		FALSE	0	0		11126131.2340432	910863.523172059	7564784.7181147	12112402.1482459	8254589.72380886	2365118.63818504	4812891.44214163	14486034.2381019	14941191.6643266	7218431.91546065	9776704.52071244	23119255.3969872	13948061.4885578	17540041.2830419	13849031.2839982	5115645.26164496	6984331.31566846	12595930.5770479	17811740.6959865	11574306.2670097	14301438.6293271	7455692.79923618	8707240.69177079	18150254.6763224	5028011.60772484	11739871.9658629	16646532.8441291	15044266.3415301	24568249.1092228	28433300.7244962	18919548.0448588	15421939.810275	33719578.1120413	18253858.5040128	19332169.2158609	11267134.2498511	16022504.0929953	30225649.0411677	40018614.8195725	15839300.0611513	4756959.42071892	8948696.93204845	5450207.684985	3710642.48352621	4831670.24620482	7583677.58411236	1531466.93509416	6658122.90338435	41031817.5562862	16630854.2594576	16887319.8635338	14006830.6988629	17508775.974974	28721675.3471399	24404524.2080874	10917172.0685033	21229944.3949262	30151909.4622696	18487433.0141511	29696200.0989657	30002743.0291187	47268994.5796405	38710651.5782768	33909585.08443	45286003.4972846	50979151.7622732	16948371.6329621	42664562.8033479	50550152.127151	28941013.5937801	36058317.4670916	20256708.9834467	9321760.38620455	20773895.6151726	8986605.0856562	6821884.24371383	10180459.0430351	9867867.50265878	20126837.6363418	6733952.00336025	20516012.0944313	13890099.420763	18827670.1419195	14363384.1102468	18877400.4566449	13840.4038331398	10985235.8593277	9586887.69985265	11777687.8598858	10324785.4902835	23196541.4655906	4522118.15306971	12335708.8187151	12133432.6001901	8014402.36768026	16273057.034415	16289675.5582919	12599466.2670157	20315820.568111	7157518.18433694	38888631.7963253	21326108.9638704	31073573.9544117	36398469.0664373	11712739.8799098	20492635.208803	18268691.1911601	24148314.0168631	14055740.1735514	19224959.4789054	8510234.9457666	42309296.4584346	27288134.3558139	21373592.6495194	34542024.4218654	26324052.5620814	41567800.2075565	16831980.1096564	52160706.7607543	71193437.5254354
091002MeKO_06_07_ID003	091002MeKO_06_07_cmb_ID003	U			1010.5	251.14  Win001_C03	4		FALSE	0	0		10304534.1239817	63069.3790101397	6308795.37268345	2072538.10396236	231711.766373148	10511482.2395635	6184199.61311278	7413581.897698	16551490.9786059	7016100.8172026	16894075.232688	9025228.15637751	11897794.9360192	5206452.32456121	13955567.6807463	2365633.17613725	47364372.3003431	24877128.0514407	3844806.34533956	3181037.24631292	18807662.4921098	9023974.91795399	30395061.319458	9968.89890747261	5666372.17304056	13146786.002933	27527485.6883038	2574242.19597531	4022024.5580664	16779121.4346281	0	10412987.3737119	2057994.54926671	10036722.6175061	8843768.94180784	28218436.3741482	15040798.6298288	30025480.0445475	6828399.41337817	21880150.9169705	4630836.72915147	17122067.531604	8358343.3174758	6946417.30710004	9969218.04548245	19099968.3684316	20343383.6478666	14062089.3457248	11730747.8233359	20644398.8033352	16526069.9877315	23594196.7490832	5899208.41509746	4790328.90343889	1169056.5780511	6557466.71327866	12205801.8128685	6524844.01216566	21188512.7234124	13995966.5138563	43621263.9511549	15519185.3127621	10128551.3064131	14705338.7881418	6953073.1774252	18298671.0809792	118419.778002528	36381350.5852069	16223847.5923615	9704850.52145461	6054.06424799585	8435409.14669498	2686469.28509515	11344265.2288761	69507.118128612	12819916.7739999	14472833.2032701	3575295.93197409	8375907.22646443	5432436.79754867	3456210.90721071	64291.433407228	25528260.0735562	8446835.68707511	7995449.12370353	18498.7046667382	20785295.022461	24408577.8766083	42017.5423276151	5212.42380124788	22832083.558445	5010116.24656348	14221733.1383599	28663501.4028234	17008571.6789367	17902367.2974008	30138491.7030812	14689146.1607754	16938655.1967726	140573.02197216	21840111.5488462	163871.775159816	24083836.309451	4613206.04657203	13056241.4594649	33035721.2973734	3963621.61794453	8134660.82151271	25487596.3294723	602373.244319407	17615408.3244878	40312739.9109007	21251415.8037758	24576047.0684141	23429248.7257241	30036026.8475987	25600759.0992258	35319378.1367154	14912387.7347149	4826272.04047632
091002MeKO_06_07_ID004	091002MeKO_06_07_cmb_ID004	U			1016.4	253.16  Win002_C01	5		FALSE	0	0		7170592.62745765	21141364.7955636	11151012.4425284	7104259.64366979	8268188.89446089	8297538.54641524	4582111.84234356	9672936.71978647	6259510.5807928	5402709.73359957	6869230.12768021	10028754.1600165	5821313.8228096	7055204.9340051	9336980.99878287	12129078.1728665	4100970.57343015	8763071.5922048	5731199.30981676	4767655.40295088	7336647.92017271	4696855.16532994	11057078.8075443	216936.146187502	8041128.31598571	5502006.54474573	5082822.27076762	7903656.37653693	4620870.96487824	7902674.14852021	6339191.93459921	6089938.29938272	4787822.54062595	6208038.22139213	6176515.3290229	8872210.05056469	4085952.77823822	7846266.33717575	7841087.02849351	6360848.14851192	2307521.44662218	3029823.14347633	2021321.91196125	3757432.26753029	3299084.09928932	4314510.65904166	1903062.6837806	4999573.48195308	7652161.77893902	8493829.27858028	6136423.98298785	10137618.5432925	7553828.58772504	10121953.2652894	13588780.2797353	6538259.91605272	12654498.3295282	13671732.8100964	10939713.1157405	8996020.527755	6508727.66814067	13808248.3965069	9350452.67191346	11608406.8611814	6755656.59009192	10743483.2152958	9791734.67940845	6993205.72408583	10241455.8770198	10544168.0758417	9329209.57187453	2976296.77327593	7100382.94639244	9188824.3373334	10610970.342973	6895160.57945943	7663953.44914192	6714808.13214686	7903971.64159802	12577099.264	8853944.52199752	1967986.77178148	10695479.5165669	8949341.90337813	7022684.76230473	281050.632971677	10894284.659599	8098600.15376488	14420417.480051	2618942.22327451	13340968.7747862	11488748.5722405	8933448.48152214	8526267.84451679	4554914.39322521	6527952.76616306	11964966.5448567	5094611.61561104	8699750.95013276	12373187.1356866	15557938.1768742	13983737.6264028	12994408.5953485	13309910.390215	7505120.67602546	8716557.64773221	7321342.99317903	10445481.0451706	5391208.59239745	78029.9206018462	4616678.21603511	28621028.7582952	6360997.8233992	7901339.21722853	7886815.47082139	9060086.15109875	9186946.15545693	20298779.4719321	15237674.447668	20235700.7862411
091002MeKO_06_07_ID005	091002MeKO_06_07_cmb_ID005	U			1021	254.82  Win002_C02	6		FALSE	0	0		14740209.0496702	35998014.8859118	2490575.75111212	12955869.7270712	13357922.760531	6963867.11708044	6698604.37292142	10938772.4966033	10401839.1960715	1002539.95256864	1017821.84222228	9999995.57349599	15927853.3097131	41147218.6827426	2413005.00653724	16661195.2948923	26116241.4625706	26317329.3999773	10429440.0108558	12545342.3542711	5124886.34224294	13226855.6278518	3454647.81268598	49005492.1918508	914780.542731086	8160885.65043304	9714667.04769526	22133278.3252768	13577045.2936904	7051645.66506939	12799635.0541739	24480279.3892529	29059959.499019	9216556.79298535	11394245.9782274	15225776.4833902	14462550.9450306	13244405.4255127	13932955.0304832	13981095.3615605	5958560.02065192	9012383.38374875	4419142.15273502	1118788.30340111	639649.53046437	6206205.66175407	666151.009019473	2737376.21288058	9889091.10052732	14695069.2152733	20645728.0977225	27490447.8519337	22874188.5042812	7837283.54659082	16639774.81388	9413385.82464094	10271126.7376638	14668030.9802116	7889302.79960835	14298190.9354379	14376127.3448281	7871730.84739374	33091369.9115559	9162875.10926908	17561572.8964429	13179209.4149652	11932247.788266	7321345.94055092	16437798.678277	12457167.1976802	16914244.4989123	5588143.44950956	30191524.1690127	47740580.9832373	11330869.6908496	29999443.1452779	20326345.7733215	10387728.2088349	18252198.8699165	632083.392659154	21429816.9080285	53028084.220949	5337583.60767364	13977976.4072684	12699030.1684932	69783287.4347035	6442663.24976474	26763631.3779227	11382065.2610414	53423002.191797	11939139.7375122	939015.228271906	23584266.1063948	7345931.15120015	1213702.62520045	12009771.4124446	43967272.2492846	50682837.5408319	15803236.9992544	13610433.889394	21238815.9156347	10702383.0474383	16708106.8328327	11168012.5952553	1412866.38324818	28007494.9991981	10317517.1722454	9468583.85216207	21270779.0435382	93272655.8467817	898803.171501268	25890592.9597759	14579893.670251	22957458.2245003	29752923.709165	8210018.28032981	5524685.15822068	2777761.51746272	880037.520633105	18190810.2263241
091002MeKO_06_07_ID006	091002MeKO_06_07_cmb_ID006	U			1028.6	257.48  Win003_C01	7		FALSE	0	0		1323032049.45231	1323898050.86203	1396815594.07284	1502909354.65132	1438040442.81584	1434300596.9728	975538101.044304	1565592162.1279	1635711906.3436	1366798050.09306	1845848370.76403	1998170196.22232	2001618084.95077	1857104057.17239	1561080514.46429	959279483.950476	1624307505.82912	1841367528.06712	1170224221.37587	1223037707.22194	2210167971.99134	1365652334.89011	1921549340.42533	1123823399.73265	1263151990.46305	1834325996.51957	1839488433.77096	1702881371.59182	1621239576.31127	2346363169.15123	1957643508.10763	1946812591.50417	1586951892.43324	1937559303.34031	2153396911.51076	2178953709.75501	1744841341.21615	2789477099.19627	2790514765.71731	2509216666.72687	851446615.919361	1581169351.97751	958309102.569345	1081151295.28304	1052112668.0756	1252910541.74274	858872040.539102	1338141028.36579	2379682742.38952	2650832217.85017	1860051950.98754	2130212301.27495	1956390347.00801	1919330569.27851	2763119151.14463	2034438565.3151	2565402403.76164	2584053063.84058	2209252832.99417	2240278913.62733	2957456876.65932	3116336250.41183	2865300583.63492	3020350415.12836	2400518757.97221	3012353472.21437	2761006587.1225	2852415929.42715	4920759987.31844	2954513333.60193	2728074752.13045	1597392009.95028	1421530591.46679	1616127310.55366	1415896012.17386	1847433889.50017	1547549093.77767	1254609799.79763	1624779216.86319	1377889154.93423	1421500397.00096	1368124627.08294	1640085635.03831	1830254354.60928	1636029453.79387	2130304252.49937	1578029058.59332	2153536245.56366	1550047709.47125	1328173928.64398	1332658144.33502	1229404289.67344	1506373601.80785	1637970115.11334	1630069908.93429	2059269531.5504	2378414245.45367	1977285154.92144	2204162066.13753	2060671797.10483	2796065854.18906	2375267007.83864	2630645011.03891	3090380174.18049	1640835804.73521	3206802479.85786	1670171809.18041	2443896432.64865	1905946966.26355	2041451946.12133	1695994782.97667	4605361182.1607	2945454903.77802	2269092541.17058	3503216842.40268	3138145349.94803	2971425083.05864	3397800775.75676	2757337402.15186	4017354082.21025
091002MeKO_06_07_ID007	091002MeKO_06_07_cmb_ID007	U			1035.4	259.9  Win004_C01	8		FALSE	0	0		10263592270.3078	7362294104.51456	11007612147.804	12670785653.4625	10042533045.238	11157493937.1577	7966189403.25009	14110886661.6978	9263142986.76092	7528730087.19196	8158907849.86299	11690802173.4319	10456172312.0391	9155010063.43161	8913297184.11963	7074596021.34285	6777742525.87728	12610639805.3992	7434270096.00188	6462451242.36543	13520973948.8444	8338577240.13415	12893105330.9018	864701276.300487	8695275937.30393	10684728777.9556	12117391004.9552	9661528687.68453	7522439531.84763	12881960562.7662	10133657604.2312	6913892890.54491	8399134520.29906	11357600292.6376	11091173245.3687	13304452511.1056	6548783583.86264	11711290731.9405	11206495937.1132	9060850151.86456	3036386380.68711	5911513444.56887	3434766455.35143	5189071694.98017	5571649834.69299	6851389054.84645	3005951179.90177	6457736009.24734	10749808396.9646	8569533027.83463	7254768125.23962	9029967960.83057	7660266368.56727	12297901486.0094	13139441470.1192	9918495632.94622	11387674974.4716	14491892277.6866	10046861656.7067	11686237561.2337	9689231693.18379	10828080465.512	8627402424.73999	10682615207.0246	7580040975.45084	9825738319.04695	8958991283.02654	6526512453.47726	10684868965.0686	5110758710.54319	2641316694.47347	3868162975.34663	8647056019.58368	5390038498.00733	4587172352.16404	4596804054.94913	5399559164.47704	5493390318.80555	6079465345.58188	5326591693.32325	8197061047.76053	2904240832.02257	10747090069.7864	8922740255.37291	7757976418.35944	3228069067.6836	9012780546.52065	6296578822.53648	5318749051.16512	3116366769.67818	7677377267.54749	9884136671.45957	6068123996.30088	10225626790.2415	8804117827.78478	8264793390.2768	7386945106.14767	3435162089.20254	8132845133.77402	6837469837.51656	10344247342.3357	6269770797.64719	7806897515.96986	15340460378.3463	7105984968.29106	6824115906.46183	4321898716.49547	8695842506.61843	3053670419.6504	1880431532.3521	4023813554.55975	24666170037.8704	5853587087.01992	5988628842.64819	6612886331.04789	9279697181.8978	10470594450.0631	9563597244.07454	6922807671.95156	17290821223.7015
091002MeKO_06_07_ID008	091002MeKO_06_07_cmb_ID008	U			1035.9	260.14  Win004_C02	9		FALSE	0	0		1208773748.117	710662778.624658	711629664.332675	867815356.435655	723165245.315111	633228901.584958	764036323.764011	488028750.227009	514982482.757199	394492294.269152	424839790.109523	482976863.230074	881462173.997414	987557259.695819	793362977.492702	932617482.320397	278471474.071434	383043263.470715	689484701.497944	942550188.384253	651696441.54301	669337249.381282	614359195.434674	71708.0678305051	382583957.297997	520450421.294711	604792647.534701	475760990.726595	700721326.192472	558406573.215467	349039605.411501	853757628.311778	802968590.330265	836121714.766499	451464420.167677	469181960.809994	633796153.202472	1520770677.65081	385953641.375596	792329132.773818	205552964.540308	200578861.470494	259413770.88191	160665584.375843	114539522.160448	189470184.490658	28549181.251651	246371250.583228	643445237.738343	1099491150.83849	818542742.246351	1013895783.5528	817947341.565876	439294955.984035	857065288.217873	523349603.644414	875953777.808201	821485128.644456	448543789.586739	928497252.768009	679160674.705917	966012750.231601	1029586101.83769	485542695.508266	432435576.357738	817247067.348797	373960219.02518	3358189873.98674	1686618438.31495	3598308141.27689	5001978844.89129	1463676749.96697	1387050778.54562	6300725116.32941	4612069177.43576	3971361949.25664	2852507174.10456	2359936243.05897	2256783512.58052	1666179210.26308	4794232589.96846	52822.836060057	1842602595.09128	1782069869.29249	3087767268.2809	60174.5914255122	1550598753.59741	1299522091.73478	4844032148.10042	3734746576.27904	6129614742.57745	1979814099.17325	2054830509.12557	2349084215.91067	2978524240.19178	4735057777.49864	3994924192.05476	2930425044.33883	2279385978.06646	2598852733.0907	4565318369.87958	5388245178.01249	4355149825.28413	2408282678.38869	1717541855.79276	2319757028.80544	3062281502.2905	2015282992.81357	4748696819.84659	53442.6963425737	2809500381.76014	4614878949.99875	2699274645.50893	1573844579.3832	2796617803.7651	3608768055.09067	1303764613.99446	1500319075.45486	3893923161.51867	5897359960.72966
091002MeKO_06_07_ID009	091002MeKO_06_07_cmb_ID009	U			1042.7	262.46  Win004_C03	10		FALSE	0	0		5009250.92155442	9902135.05208767	4530813.67482063	6916661.98738072	6164306.23623639	4727927.18130023	3638620.68540616	6839616.00338189	5729876.05842413	3753493.58270626	2207311.27344671	7256958.69483683	6926227.40113229	8794765.57321482	5774475.76654883	4785268.37649671	8931919.45785977	7555847.33373795	4188012.91987952	3238485.55244818	6793853.34536824	4053965.17113477	3846252.67915749	6558.55410558556	3012896.10434266	6503925.65615937	5427074.45695681	6031653.02386807	7615328.30046304	5225342.78130467	4608352.6340186	7373030.5034276	9041418.84943905	6193891.20657903	7788715.93739153	9872674.44800633	5360642.16026794	7631030.59528895	7186082.50265111	5457514.22604261	3542573.4127736	5018328.95275835	4893968.74088215	3611863.45685262	3397375.88699723	6228705.91002194	2123088.39794372	5835979.15765005	3724427.14094411	5853515.85652443	9752632.70001426	8672809.96533999	10431985.5203888	8299799.15023521	8786638.33461865	12173973.7519498	6904892.42339937	8351035.31986589	6585591.21786025	6151381.90061333	7535724.03264004	10278137.0872982	8355930.64628593	5618890.46525901	8963856.08101246	17564534.9506563	6846342.05068682	2604483.95393132	7282498.21220697	4442819.92533719	1942420.80277139	2477770.19817803	14478757.8731383	3789502.9560087	3160093.66502444	5322961.877138	4487277.80413063	5291267.31163436	6351838.54149132	834087.836612119	5096111.75048944	1829.24840083865	4847039.79331649	6310836.18643046	4035823.24475607	15121.3251738632	7817692.67696055	9011765.01802102	3684339.06043061	3142049.80361877	3644100.77058744	53331.0262076803	8235313.73710664	3658199.02498857	3239415.06004401	4397040.25426699	14383959.572947	4655894.96780387	6489467.51668885	6207067.27542828	7837460.59232827	1666685.98867815	7219276.81000875	6197069.50391132	2950363.87116907	6644640.02291884	3492189.68521525	3701040.49806533	1835228.17218329	3496860.51153056	1712481.97343856	11038493.7478254	5110461.81320416	6638007.96786234	7390609.66338551	3908639.1116285	5400622.77146031	3997737.41751982	2540418.62157677	10264358.7644554
091002MeKO_06_07_ID010	091002MeKO_06_07_cmb_ID010	I		Lactic acid, DL- (2TMS)	0	263.55  Win005_C01	11 X_271	Lactic acid, DL- (2TMS)	TRUE	10326-41-7|598-82-3|50-21-5|17596-96-2|79-33-4	lactic acid	 COR_OK:HDA	379523456.3127	206830801.590786	651440468.728833	207492404.007914	164264678.52702	372505234.402831	213730136.350383	279728344.619377	245272579.363674	671708933.970374	450118024.963291	261427265.402506	277616974.435796	71479095.4649371	525388486.262052	179228705.644346	57844102.964646	211250181.248297	172643788.226026	89331607.3692773	668906908.194014	169088189.00294	484916575.092462	0	387405474.666103	333843387.183079	321614876.630717	128659740.153771	177047429.985562	451415928.040189	260197715.336343	92088048.4368697	107498198.445387	308980843.104927	245883620.258195	293205303.232085	161044257.803989	527688330.948985	131646729.11988	320809974.242141	79882198.5404896	103494105.8103	91208677.0390492	181113236.592617	207983398.369077	136710966.412792	81086311.8935657	268659116.230193	310737882.525137	264440313.434732	114896093.012966	161753953.293541	184684193.015334	375191307.22415	201369357.993271	357936164.359521	497456176.250274	429981384.302058	469724413.554226	322961626.884083	216363284.625466	452767598.047536	202100423.435222	420348001.025164	170121384.532406	413253897.282413	109684301.723937	2972741630.30922	659059606.098669	1280316682.83622	1025028293.74172	837896738.69607	90370156.033416	1538677856.90759	2649277285.48175	464171299.361024	1186314099.9159	860322076.355743	1178424303.04073	4802874323.82275	2365908065.70315	0	2340291090.87839	850208834.501259	2243771554.0632	0	1786803311.72981	456342478.930657	3012149915.25386	15700038.1862134	7024304316.66223	3947288730.04104	789528135.22433	1861474111.41227	4908586052.43318	3983682397.0526	1407230476.42915	6418551.31216972	1627114621.34148	583407744.537985	3278850693.22585	1667468591.03342	3166407408.21757	1332062086.08961	1762526232.8413	429592065.152262	1068586222.34798	881320803.986566	1655479751.89781	0	5959730068.47124	3028670373.08169	1234494020.7363	1207335465.24527	315261781.280566	2575614072.73041	2063290048.3801	2860653236.29526	5506702262.4185	3036756965.98643
