Numbering for matrix	Numbering for unique peaks	IIS_I_A_or_U	I_A_M_or_P	final annotation	RI	Win	fData::lineno	fData::query	fData::known	fData::cas	fData::preferred	fData::action	MeKO_08_01_1	MeKO_08_02_1	MeKO_08_03_1	MeKO_08_04_1	MeKO_08_05_1	MeKO_08_06_1	MeKO_08_07_1	MeKO_08_08_1	MeKO_08_09_1	MeKO_08_10_1	MeKO_08_11_1	MeKO_08_12_1	MeKO_08_13_1	MeKO_08_14_1	MeKO_08_15_1	MeKO_08_16_1	MeKO_08_17_1	MeKO_08_18_1	MeKO_08_19_1	MeKO_08_20_1	MeKO_08_21_1	MeKO_08_22_1	MeKO_08_23_1	MeKO_08_24_1	MeKO_08_25_1	MeKO_08_26_1	MeKO_08_27_1	MeKO_08_28_1	MeKO_08_29_1	MeKO_08_30_1	MeKO_08_31_1	MeKO_08_32_1	MeKO_08_33_1	MeKO_08_34_1	MeKO_08_35_1	MeKO_08_36_1	MeKO_08_37_1	MeKO_08_38_1	MeKO_08_39_1	MeKO_08_40_1	MeKO_08_41_1	MeKO_08_42_1	MeKO_08_43_1	MeKO_08_44_1	MeKO_08_45_1	MeKO_08_46_1	MeKO_08_47_1	MeKO_08_48_1	MeKO_11_01_1	MeKO_11_02_1	MeKO_11_03_1	MeKO_11_04_1	MeKO_11_05_1	MeKO_11_06_1	MeKO_11_07_1	MeKO_11_08_1	MeKO_11_09_1	MeKO_11_10_1	MeKO_11_11_1	MeKO_11_12_1	MeKO_11_13_1	MeKO_11_14_1	MeKO_11_15_1	MeKO_11_16_1	MeKO_11_17_1	MeKO_11_18_1	MeKO_11_19_1	MeKO_11_20_1	MeKO_11_21_1	MeKO_11_22_1	MeKO_11_23_1	MeKO_11_24_1	MeKO_11_25_1	MeKO_11_26_1	MeKO_11_27_1	MeKO_11_28_1	MeKO_11_29_1	MeKO_11_30_1	MeKO_11_31_1	MeKO_11_32_1	MeKO_11_33_1	MeKO_11_34_1	MeKO_11_35_1	MeKO_11_36_1	MeKO_11_37_1	MeKO_11_38_1	MeKO_11_39_1	MeKO_11_40_1	MeKO_11_41_1	MeKO_11_42_1	MeKO_11_43_1	MeKO_11_44_1	MeKO_11_45_1	MeKO_11_46_1	MeKO_11_47_1	MeKO_11_48_1	MeKO_12_01_1	MeKO_12_02_1	MeKO_12_03_1	MeKO_12_04_1	MeKO_12_05_1	MeKO_12_06_1	MeKO_12_07_1	MeKO_12_08_1	MeKO_12_09_1	MeKO_12_10_1	MeKO_12_11_1	MeKO_12_12_1	MeKO_12_13_1	MeKO_12_14_1	MeKO_12_15_1	MeKO_12_16_1	MeKO_12_17_1	MeKO_12_18_1	MeKO_12_19_1	MeKO_12_20_1	MeKO_12_21_1	MeKO_12_22_1	MeKO_12_23_1	MeKO_12_24_1	MeKO_12_25_1	MeKO_12_26_1	MeKO_12_27_1	MeKO_12_28_1	MeKO_12_29_1	MeKO_12_30_1	MeKO_12_31_1	MeKO_12_32_1	MeKO_12_33_1	MeKO_12_34_1	MeKO_12_35_1	MeKO_12_36_1	MeKO_12_37_1	MeKO_12_38_1	MeKO_12_39_1
091008MeKO_08_11_12_ID001	091008MeKO_08_11_12_cmb_ID001	U			1026.2	255.79  Win001_C01	2		FALSE	0	0		1719443.78184274	2020678.93779681	11133124.1920625	1401841.5973618	19320968.5801868	25806596.5992634	696357.359209472	74106768.7938263	9318940.51684291	1180746.10639767	9209330.80575427	537432.348877279	8474179.16534062	2272158.87180775	5901828.61905525	2387808.65962774	3526003.234218	7344195.69205072	14759308.8953182	5259568.08152741	3200029.57117052	6035259.78731446	71829511.6888852	9938911.59115403	2832.92260975159	1147986.93831617	6548305.63003236	13634.1855200763	10070493.3587933	22820957.5247204	148488.263511145	1949501.90116332	8177137.30650009	448456.360257748	7985416.53216887	9660422.42147226	5499867.66489443	9869169.37566288	354036.319832837	4754867.43259366	5068526.07424618	13413374.3814172	1656010.54571571	3281673.74396111	67793.5695755266	4474636.56352435	1489641.20442927	447596.435216174	7531353.35345784	3527233.65406402	66342.309536042	4730210.70946315	15274.2776148542	2226496.6805602	8238653.63665667	2594441.40764905	15699805.5285902	4410321.73855165	1175235.6700587	16901.9406159664	653797.579937608	6078255.34570835	14074563.6793874	3413282.80508716	11199585.269464	19054629.7321944	2262175.93901014	2059.73260723521	7784834.28024183	2010436.76567028	1316328.10630511	2607615.01848272	2419016.87053815	3494163.52748203	8672422.81316962	7161352.40152234	3118543.59725303	873183.279169136	26616.8824874566	3153549.62402253	3457688.56962072	34654.2309762326	25043550.0514006	8689645.50762468	1284746.06784737	2957994.44660315	1705672.60416967	8205788.80117018	5978936.37060011	2016309.95715662	11827302.4276386	4410215.06434308	6303998.63334526	4113654.82451629	13070526.3442423	2172015.32742427	1183878.94156979	167000.680226308	1772795.45032958	4194113.487451	984299.875793102	7246366.87495164	168828.074640618	589170.998245366	160446.589604475	559061.115037621	955057.951560004	1534.85886184655	5141.61781246555	65092.2551181639	1205342.24278339	563806.846123056	2451032.9460162	764470.571290872	4585094.92489517	6067074.53243567	8941059.94489819	1205168.56326887	814532.576552615	3090002.38768399	9295428.65462742	286949.4186985	63.7102146716474	3305270.17489519	3114565.20950919	1509830.00549508	1704113.41200708	1116057.8316186	5454550.23160107	2333220.32016121	577792.39486611	400861.763895521	448759.643484262	915940.226551322	240917.45827523
091008MeKO_08_11_12_ID002	091008MeKO_08_11_12_cmb_ID002	U			1033.2	258.28  Win001_C02	3		FALSE	0	0		1888519211.7182	2290913658.44567	2280245498.31828	3139457487.70014	1993048616.19729	2607049917.2094	2623345917.11601	2513809047.62935	1611494440.66444	2474875304.69915	2038983811.86578	2047222988.51182	2150477649.16328	2360587167.86853	2343296526.11184	2218801970.41951	3054332291.07611	3045623463.3025	3283182355.56623	3612245678.45701	3998657754.1526	3251763159.70306	2847944940.24543	2809114108.42789	2320760297.48021	2279873172.62799	1912445922.25919	2383955516.75189	2411920551.86492	2326070387.2924	2778580642.37653	2954151832.33955	2878055053.88261	3472491654.9667	3435946190.27325	3113746893.87973	3591954599.13032	3346558415.14411	3759289901.04161	3097502618.76773	4787782827.23103	5470631087.78741	5151037283.93295	5600997994.0303	6967498810.75355	4396680155.6176	4932311593.90627	2187144288.2144	6304665511.44578	4620447263.49673	4696678935.01034	4529357743.89838	3242591565.16725	3869350859.45321	4925142411.65677	7176620041.78863	3498869760.35412	5067648945.5448	3214861324.90448	2820379349.76168	2837395594.34764	1619173185.82606	2602176336.58141	2848713548.77467	2383616421.07173	3021043657.18828	3092608422.49054	2459699704.17663	3141935299.84449	3700340661.27262	3768978136.29696	4252323712.80314	3717501718.08036	2783225311.62998	2918682143.92165	3171834444.47496	3313785906.08603	2932878306.31072	6884242655.46402	5443106513.12057	6353511484.84568	4543888467.54602	4072498500.43587	4369760862.14583	2647117700.98925	4726558045.7874	3628337855.80256	4233661360.84792	6017949849.26437	5156204933.6324	5867411938.99	4904963976.34424	5654467852.19387	6109891552.5562	5311877605.16787	4680234720.71124	3208418118.82287	3930501318.53891	3453011990.27334	2864258627.48365	2957101062.9654	3100714346.35517	3887863673.01683	3256965469.44951	1790514382.07623	2497781265.96974	2482378755.9942	2677239346.60239	2211224663.58993	2143794629.0046	2177404262.50843	2231496132.40576	5045760095.80814	6018133933.73777	5538270614.81715	4336163442.73135	5705630135.81419	3916508731.12522	7252436034.57412	6299461672.35054	3194820703.76723	3830224950.95513	2371661354.12283	3262070033.745	2691512610.08631	3748851704.68055	5100817931.16483	6796853231.1401	4653556144.90046	5624924763.47855	6060390750.0663	5214842984.56096	6146092070.94086	5452136065.12674	5053757410.96264
091008MeKO_08_11_12_ID003	091008MeKO_08_11_12_cmb_ID003	U			1040.2	260.77  Win002_C01	4		FALSE	0	0		12894377418.8359	12223812105.6084	14107248111.4825	12826196930.6142	14558118558.1432	14512112398.697	10663685151.5942	15250048992.057	13026730451.3375	11960265802.0187	13615464971.337	10542568663.1242	13651898068.1529	11941797251.2897	14752830903.2148	10118715921.481	11951036622.7969	16329164731.7113	15252154073.0978	14217838658.6182	13832424157.7953	13034793050.3772	14539921893.3872	14707534205.3977	11265444329.0242	12970632131.7736	14511091167.9219	11979930130.7185	14041625656.6766	12552093118.3096	9413860010.68631	11253034952.6367	14662600967.6855	9698315941.26066	13908032336.6568	13214146199.7626	10686202216.3342	11499058341.864	11324996919.1651	13053590930.2066	10058671968.5822	13056691862.4054	12110987206.8417	13337523638.6341	11000614286.5516	12589588830.7172	11500992195.3798	13481190161.8643	15033422163.5896	12985844460.8774	11072257927.1979	12711341941.0785	16960531841.1299	13704996478.8829	12797106814.2336	14572369387.5365	10989803366.5666	14302084007.2363	10949266699.913	11078390885.0024	11892926479.3008	14615360389.7589	13419811477.0535	11970590952.1335	12743536140.631	16045055651.8997	13461786022.4024	13772985121.3474	13921961265.8028	13440008043.1034	11733829595.8108	13048365726.0402	12433864378.7866	15266714644.1337	15255707680.1813	13179857503.72	13855057899.9386	11607151434.7413	20218200097.1047	16507917176.6874	14234670395.7344	8709028049.87619	12237154506.2393	11819574902.238	13181944344.093	11341875475.6242	11259436964.1995	13182321583.0691	13159988919.4511	12678543327.3882	13408248863.3845	13344104407.9117	14527715001.3379	15544142362.0756	14396955410.4064	13115188787.7987	13171233814.2903	11934555802.8546	14476213128.3852	13664527699.3934	12348532719.582	16639910753.5924	10864670741.5929	11313228938.5104	9910986346.82717	11455869249.2912	11593694235.0411	7973992320.17583	9064468374.67623	8344976824.97678	12425314610.3484	10780557122.5831	14492830046.4636	12820583474.8473	14308502421.4999	15884253473.4761	15316300115.5259	13189251352.0319	13222974581.3858	14010694576.3593	16178707857.3597	12886571872.6218	4588172521.49485	12917747235.2023	14273096174.7917	13013615165.3191	11950629729.0049	14887788569.4012	16210206173.3059	14905063504.3902	11134059114.8391	12944058365.2809	11317371341.4403	12393808800.8556	10757896634.6982
091008MeKO_08_11_12_ID004	091008MeKO_08_11_12_cmb_ID004	U			1046.9	263.22  Win002_C02	5		FALSE	0	0		896597.032133143	13805.0610147763	48.5602996999259	9251336.76785759	272126.633460002	630202.593370333	26393418.3996315	656484.525014731	455806.072252351	24024950.5400008	3539626.32365207	8175482.25477488	804467.922360952	12534845.5892157	44.3490205140725	147298.112692615	2737321.86538931	955126.860043594	1056957.25390024	3417460.60510757	3558337.76048516	3301137.77458735	203522.321848173	752775.997424491	419493.444391532	2869171.7270586	1335.13280687662	775427.674999952	207426.59518005	847167.142119505	3016130.1918794	6974712.21508314	1572671.22900368	2506263.35985881	2200034.78586801	1481635.24008752	793800.390636083	1636395.73083318	3379614.80327928	3146352.42734233	1738628.13664035	1330659.79915979	2046052.52973017	3033476.66768395	22501856.261175	4234755.66577784	1277676.84880999	443232.067278763	2343955.18305188	4545411.18559853	107924.017086559	1841920.64588346	1596871.04214719	1671643.22566925	1424125.66806777	13585779.8185082	862000.698581663	1807162.08874276	19513677.8227936	2556627.40018075	3316359.36640425	5990.91262318619	2014712.69158635	13259399.4157043	688841.861086254	2290238.42280786	1516760.5236581	1079143.96055165	4446462.25790384	4007236.2022182	20645716.1226172	11127330.2921722	8283290.71336496	22849.9749708034	1119378.77904457	2474523.6804759	2255647.86803267	25153949.4888789	2007360.92717917	4725195.05505288	3157760.86910738	3294185.44245139	1540178.69058204	1587499.67108564	867416.98054197	1544560.71565446	1263718.68286196	1461283.73991409	2132149.31166834	6333829.25697108	2819608.05696848	15019578.3221684	3466548.88257888	2333473.98748865	484730.325825527	18.3362309258668	3928123.75119081	9971227.14745123	4122905.69997199	5044810.09979389	2542665.3099241	1962034.12842867	3055147.8168933	24933257.6816053	2327635.39954462	18332166.7324958	22047479.819682	8536568.77885543	3143265.43743571	2199674.10096318	2351343.71855955	4408654.07531873	2976647.93327414	4827051.13784024	5826638.25654573	1118.69423244106	759628.15221108	797564.450761188	2976344.91504341	2131917.7403055	445403.350456776	618261.86120566	849443.295618859	1411298.30300469	642990.254375382	4900252.64917651	1098971.41206514	3365742.54049091	492362.271275298	9082655.15398093	23869384.7494632	2019.31681072843	19241100.7509144	5906788.4519112	1354668.65659278
091008MeKO_08_11_12_ID005	091008MeKO_08_11_12_cmb_ID005	I		Lactic acid, DL- (2TMS)	0	264.38  Win003_C01	6 X_276	Lactic acid, DL- (2TMS)	TRUE	10326-41-7|598-82-3|50-21-5|17596-96-2|79-33-4	lactic acid	 COR_OK:HDA	2492020667.41553	4953672611.98406	10649759892.5191	2713937151.62647	5623429856.44173	6639174195.37035	2677609717.50278	4722492140.82018	6397697795.03579	2122634441.10846	6318771943.55236	2289615100.89436	2535670458.50619	3199444135.73645	4206298067.75708	2738881574.2616	3179282095.3438	4935710392.99312	6046350481.59772	5640043824.72344	2239900283.09539	4962943174.40965	5297776507.00268	3262548370.70894	2200689453.82819	1962469667.42335	4431707404.3829	5875140487.91789	7852605438.12008	5900822421.45893	1415308532.20842	4846916504.33656	5107432707.55084	3079186479.37307	3542823868.40582	2902568274.2086	2961404821.96821	3699371665.93187	1660664930.89354	6548320159.73367	2801266404.30307	4504533191.43053	2412415731.31473	1556506264.31259	923029414.760469	3749338575.70665	6158634909.00009	1018538159.67139	905701146.771406	1032643260.83043	843051747.363384	1344379049.88652	2551666967.18044	1572692914.73963	1257940857.703	926231641.657755	891127874.521786	1136956066.69705	630201740.278961	597226122.336556	432437461.588288	1394173030.13937	1292808401.4327	979720127.779675	1262742076.88483	1586373545.35818	1054916810.05564	1266909998.82146	1121717596.85324	980870993.174169	1068349252.75236	991212127.237667	899258990.048906	1525824960.92618	1213062770.32739	747390238.429408	1008121058.06611	586131171.884634	296220510.673939	1037313870.73898	1272284643.16615	230841003.552956	1137168586.19193	759222396.559831	972799626.687336	819094437.496575	666473028.156286	1218044849.99978	1214051747.40687	982069031.313459	1481786329.91297	953591473.162033	898792520.96383	1217643910.19987	1507460011.89427	843417886.750103	203297526.722735	170319380.733453	371501936.205477	300719983.999421	204072094.436795	435551658.820267	148338317.179013	178265252.491899	279668670.562227	290898482.607211	785671355.136704	58075720.7606114	145436715.097102	137269330.017524	327243054.924394	255942723.686735	534940757.213942	285540327.910735	471255700.574805	459034944.056622	1686172740.63478	1077691140.0245	1306737166.44998	1666820438.01702	1460733989.82718	791256788.978078	36028439.0733331	796850123.69282	1542439695.22869	961227855.78435	998456755.260054	627756532.801191	1416465291.16888	1030293937.47925	598443980.408822	906271456.13044	456070718.430546	803053698.91812	658078446.944627
091008MeKO_08_11_12_ID006	091008MeKO_08_11_12_cmb_ID006	U			1054	265.65  Win003_C02	7		FALSE	0	0		498034917.810497	325214141.847291	717213490.79807	613443303.077478	372220037.324419	915247827.648462	482671111.429507	1041646110.39093	232943583.585014	347479396.508303	494097818.917207	180885811.65914	726945018.86146	486214467.330824	786663841.660791	132633760.842831	150291192.790255	659669422.417999	1018282828.20349	622567596.348067	727694491.753266	380860607.177516	314503278.672398	617676082.178764	109020606.736067	474593228.361965	621657869.294943	308639596.894747	484493361.766431	585144504.992316	212525930.67227	214369101.734041	776558791.510874	198416647.912767	777669946.88079	797064585.788953	257878311.640522	475494441.301705	388751966.109828	661414888.820325	275283639.436511	855237365.310959	645822525.702753	898139588.258918	248778297.230019	567801127.532825	364416480.555574	557255392.412912	1060292120.8551	780668682.50485	461652853.856607	886508790.418882	1213160624.93791	701693079.801686	700205146.197049	863642533.84824	787900561.064497	806951096.275139	588566307.363034	563644576.855948	669354268.513917	830613659.804564	768362300.333583	798161329.010868	804738614.617399	1007588178.12763	861836929.075123	840058765.901441	741455599.443956	644376209.940543	616066335.011806	661620029.082255	645524481.112284	913169522.845096	780387619.343687	1046568634.152	882670302.388446	490888457.584362	1812376212.18292	1285132533.40733	1220198739.74844	450581954.42751	532314677.956072	718034105.311642	766441779.393881	475894414.105996	420392593.910037	709560542.002162	982467529.692044	743007258.644243	1246448769.56466	839547953.108444	1051262998.92926	1072697385.05263	1030180137.84351	686712845.213037	1089501583.34466	631643616.572476	961749051.763549	806289444.783474	860657865.728157	874849512.830963	669780457.552084	577094676.699558	473860586.501273	606464139.044225	527873447.054227	431298994.837209	484352492.798242	382960983.544245	756135141.06112	683170913.015021	848579945.610522	1134185468.53365	935996144.016536	987567909.277046	1204423744.61979	740307987.535137	433337032.521226	668726019.402945	802146670.166194	477900430.242684	7635473.65974475	726174113.017247	689406287.201896	522056430.738202	646104315.233045	1196142999.7151	833732253.366462	590352045.435156	472718811.518016	550808896.525481	557334978.874455	654825372.075501	558381535.445009
091008MeKO_08_11_12_ID007	091008MeKO_08_11_12_cmb_ID007	I		Glycolic acid (2TMS)	1068.8	270.96  Win004_C01	8	Glycolic acid (2TMS)	TRUE	33581-77-0|996-23-6|79-14-1	glycolic acid		173009601.902061	114294593.968831	227458078.750733	90873365.5190851	123175697.709784	145510552.47181	74118828.6720605	220944584.883544	215792162.720861	68652236.0589382	125441597.893574	86392298.997923	161346506.384931	97252268.6889741	160138774.936634	169447032.83978	90860674.9800641	146637894.601942	269509267.448226	150664262.480667	117584960.034549	157744155.726944	251216739.892282	112359904.632217	207321399.330779	101948726.291835	180586416.411884	128495941.589352	218785131.918041	223144921.128502	26199.7885744796	132856380.310295	323908578.119088	175341.255940256	235888956.48724	192130928.707909	221659858.583896	216623542.508278	106629645.609603	182383527.906358	157537505.521255	342047811.225209	236979543.775865	139900661.24539	31708593.4354941	234418655.479138	163652399.337791	110520200.170513	140884269.996298	99607595.0585635	65611432.8870593	164214237.840521	240447764.373958	112645543.661757	171951987.400444	151514601.79275	202502903.369974	103846951.458671	95715835.2556113	126483600.846566	87238283.2040832	170852107.780958	106379093.714225	112920033.816494	155113135.64483	145102168.838254	100205276.25051	147293311.386977	131320671.486616	140269380.73978	96813799.4679271	89738912.8120873	125312812.308013	139038794.164767	159798384.845005	105918635.889673	123786787.185593	74416063.7976822	119552.500290008	83686763.1409805	122359421.211814	99377813.2574641	274981778.811141	227586983.631391	127610571.118111	209974895.325297	128647455.020727	167537307.752287	141729897.250245	161769113.453067	238426101.174401	203350784.792677	144984445.800212	123361605.149767	147253069.849566	191162529.377488	383505371.516177	70296.1504756528	374475161.839372	263726931.42805	513265542.088623	402376096.590114	170218663.583306	187872934.468927	222460236.352767	179833121.698581	242520188.837743	153725.680477272	158581579.912602	143591852.985709	214581910.446175	162648692.189805	268941244.330899	242318042.894087	453471667.883812	300568146.352682	244446536.476622	269366754.04006	367820806.01794	328236329.499171	213086498.077888	339400663.57058	72096123.8456447	194539453.079574	167606514.578007	100407480.95734	230594097.616755	164524319.866065	232253026.4576	172502403.917423	130161019.56776	85329894.2982746	78314461.3986955	112293455.415903	127643636.502755
091008MeKO_08_11_12_ID008	091008MeKO_08_11_12_cmb_ID008	U			1078.9	274.64  Win004_C02	9		FALSE	0	0		632117.052964468	719314.799311577	570084.503423441	724178.102239016	702624.5915004	444941.220421559	773104.452407383	439780.475986484	448731.843200733	545380.695624706	1854923.41281298	543723.4142153	496670.456263028	1482739.69286637	1009240.68213692	360934.539868237	931573.951461427	322921.097284929	321461.762195326	578428.753495324	706730.795416976	795920.29190222	582873.261422432	86367.4791280703	263256.332813087	478748.192435939	123775.985237485	390410.450005172	296621.500067324	1063641.79340951	821307.024873494	320118.686635099	572281.822908183	1128433.4496462	343411.429771387	709297.712210493	1203450.63576313	709115.051450833	417431.446041544	853293.778142959	626481.407329754	412568.266599559	674330.650521747	530426.657863239	386087.068079238	541198.103716698	571628.617140539	445542.158359905	487900.99400527	918364.379220089	315736.047598866	629674.80210722	721188.77227945	512811.760659511	382055.719425799	983162.715186565	169129.734014455	342074.25346042	635918.615240116	915700.834100448	821908.47834417	124791.348236617	867760.626369278	602097.435132182	445741.984692182	386935.972838619	687655.842496875	590459.698703137	947604.868063772	282067.837774268	699907.283241053	1364693.62370286	639522.385045905	954303.338504753	673251.87622624	410268.731102107	735513.285964257	703566.591571788	847818.987966786	771105.269099285	623923.707272068	798573.985290321	659797.257992623	494865.233857741	1784632.92946134	823857.794213008	722081.035482179	365129.872360288	796037.425239375	604444.144090449	496305.268522478	491780.077404681	666170.767667327	763338.474772072	430698.889403161	248892.402334272	420617.708465624	902439.333750173	707487.364434685	494980.416286709	735282.321923802	727194.387897491	261677.604592204	330336.128258752	557865.154858086	474675.630991079	170945.38093478	721760.069094866	1025081.83936366	357252.825539745	453431.452181031	806846.859137799	539139.296233961	629102.950442908	1082422.72624226	991396.137388546	272252.608376754	760499.199899939	916300.196890678	579790.338091351	428697.83387252	775851.109062067	114348.206417683	488445.190376862	587566.877071531	336405.989967178	753654.747635969	657751.521299861	522299.404338543	688783.891170921	417543.238888287	594675.369959087	1039732.84397138	751676.734663168	345053.962364561
091008MeKO_08_11_12_ID009	091008MeKO_08_11_12_cmb_ID009	U			1082	275.67  Win004_C03	10		FALSE	0	0		50736.1845684398	27404.2618549995	1199.40303478989	1819307.18063747	7159.44757565687	106773.696670139	10913673.2372357	52521.3395067551	56131.1436582176	1042337.51003458	211720.624153211	7537482.07766251	46316.084098275	7640909.19237591	17451.963561836	26794.9994469267	1383512.69242497	68435.8955849502	566.64148946764	106.234729685013	348915.955687232	427684.954178491	6783.416847312	241160.515478697	109868.865934005	221495.187438751	998.166689484671	86542.1876454211	709.362550533152	86774.1457038231	1029280.6188892	89.6404173189652	536153.284257806	1479878.3922049	547.728829614148	399889.406570643	220904.302175989	269438.37131285	1807282.42151742	2338.45499907713	274650.391007757	131274.856985232	259669.037088784	628177.871901498	6420784.94030997	2236.75031429373	238317.027918302	176085.883443708	248272.610091883	804406.477974485	15236945.6107565	314316.449434802	258594.065621471	130074.188444535	194406.507682306	5529709.06822321	42351.8835965371	192684.42462307	7416896.7189716	434390.353983961	438238.550316193	1751.41608659947	33113.3274667892	18264959.5843372	38788.6034918611	121230.654268309	448164.616868477	77341.2751338426	2601.24269378237	30.6547184890365	6404051.76231824	1888908.10006043	136.825419012151	1768.82761581517	17658.6274696289	264161.478560262	173009.959956008	26803825.7728634	1131491.39120314	369951.590672013	490866.798585941	1068164.82008147	159707.663224267	215480.799636846	36638.3478715911	231203.148908654	267181.334193612	148621.415450029	298387.833336364	556371.092435344	517189.050387526	4631.38452659905	526589.556424416	199903.163141725	38681.8245410637	39692.9648307674	1265546.96381725	8697545.10000562	631031.229192705	910712.329684761	2046079.65708298	108579.526639131	928646.290380595	39381038.1524725	465493.101443546	129203.501948389	11434054.4206584	4229644.35625852	698433.965975224	503875.706009017	604317.983436858	1243138.64924856	393367.259648888	876068.037574264	655537.887223899	7539.80163379788	49361.7266003969	248552.325401818	321033.130730608	413013.862718426	26336.8519476858	84456.4700572618	705340.740810946	65859.2585587002	7.99491644396112	1989636.62380725	66953.2643562024	648572.020872295	2.6697392116226	874718.125095519	24126284.4169424	278471.835759319	14061431.90651	650360.197456171	118938.137855714
091008MeKO_08_11_12_ID010	091008MeKO_08_11_12_cmb_ID010	U			1084	276.4  Win005_C01	11		FALSE	0	0		29498871.4595453	7558282.14879748	73117203.3050623	17536960.9584778	240153823.325522	222275185.278613	6704944.45484963	618802375.397503	202536687.399182	6947970.67462441	44258753.008464	3017258.22540899	94223424.8483684	24206506.0343677	99501271.4684887	78812.1667872874	28544835.7955411	351110054.591551	61298944.6602519	116700665.000526	33435047.9940322	53792361.1514615	631013901.071409	124015444.091759	29804.2728825983	46662570.318845	24927251.1301776	54479950.8272981	22149465.5794474	120119745.002242	7.6479875507192	5502890.87584579	32507860.4556333	1216.19096025224	65707659.8649893	44035938.4516812	32867542.6648349	30725961.473091	5234471.23552685	13389275.9262122	4155953.1162554	129576068.815522	10544444.9709371	23375377.7692882	1232911.79522888	9770451.66210008	37362615.8025678	1435948.56975687	6340.33505858277	39883505.7756218	542134.263790129	33977677.0272391	233682294.548461	56319941.5414211	41039400.7678553	23145188.5830563	38293163.7432296	36871364.9115865	2212615.3015266	2632.60969300199	1704.64318388409	13734355.5009845	99069688.5040935	6243228.06036133	137986973.845682	222878886.696615	12491.2474228179	71267271.722184	27685192.5720782	11022906.3264714	8362468.52510409	10857809.4325972	28351736.7279125	31502354.6735381	238380506.200882	71273792.0409354	31694524.4974745	3253648.31590849	1877251.66314319	59470261.4757685	40350637.2811943	2938.88596083762	59047135.8508454	20850766.7775308	2586164.56919652	35319550.7567524	27273011.387761	53060857.6212698	18578965.8907014	21211932.0420651	79456968.9228697	5876819.69557223	86439735.4365505	94112081.0844755	82867542.8623869	4892094.81095622	8953.81652453511	33.49153493176	18476659.0258999	31414520.3570516	3372197.20969118	57616502.3650486	928.844144286436	2949030.01799239	20215.5561714038	886741.051247886	3542135.15415641	661.615484115823	87162.6230986846	857733.572715502	22063031.4546046	1020850.35163536	121203022.767062	35153651.4821498	14761729.6913578	16116383.5302919	337547359.804527	24065.3361040831	43094437.2962616	30135402.1774859	221157436.682381	38515414.9023645	2.37788769775864	22026911.1412723	26136482.4333853	6284499.03386317	7205.03448715752	18883462.6997052	184894984.96228	25559062.8636796	3708599.90518538	11530705.4398565	3034735.83669651	20234698.442882	23216871.7436367
