Numbering for matrix	Numbering for unique peaks	IIS_I_A_or_U	I_A_M_or_P	final annotation	RI	Win	fData::lineno	fData::query	fData::known	fData::cas	fData::preferred	fData::action	MeKO_05_01_1	MeKO_05_02_1	MeKO_05_04_1	MeKO_05_05_1	MeKO_05_06_1	MeKO_05_07_1	MeKO_05_08_1	MeKO_05_09_1	MeKO_05_10_1	MeKO_05_11_1	MeKO_05_12_1	MeKO_05_15_1	MeKO_05_17_1	MeKO_05_18_1	MeKO_05_20_1	MeKO_05_21_1	MeKO_05_22_1	MeKO_05_23_1	MeKO_05_25_1	MeKO_05_26_1	MeKO_05_27_1	MeKO_05_28_1	MeKO_05_30_1	MeKO_05_31_1	MeKO_05_32_1	MeKO_05_33_1	MeKO_05_35_1	MeKO_05_36_1	MeKO_05_37_1	MeKO_05_38_1	MeKO_05_39_1	MeKO_10_01_1	MeKO_10_02_1	MeKO_10_04_1	MeKO_10_05_1	MeKO_10_06_1	MeKO_10_07_1	MeKO_10_08_1	MeKO_10_09_1	MeKO_10_11_1	MeKO_10_12_1	MeKO_10_13_1	MeKO_10_14_1	MeKO_10_15_1	MeKO_10_17_1	MeKO_10_18_1	MeKO_10_19_1	MeKO_10_20_1	MeKO_10_21_1	MeKO_10_22_1	MeKO_10_23_1	MeKO_10_24_1	MeKO_10_25_1	MeKO_10_26_1	MeKO_10_28_1	MeKO_10_29_1	MeKO_10_30_1	MeKO_10_31_1	MeKO_10_33_1	MeKO_10_35_1	MeKO_10_37_1	MeKO_10_39_1	MeKO_10_40_1	MeKO_10_41_1	MeKO_10_42_1	MeKO_10_43_1	MeKO_10_44_1	MeKO_10_45_1	MeKO_10_46_1	MeKO_10_47_1	MeKO_10_48_1	MeKO_10_49_1	MeKO_10_51_1	MeKO_10_52_1	MeKO_10_53_1	MeKO_10_56_1	MeKO_10_57_1	MeKO_10_58_1	MeKO_10_59_1	MeKO_10_60_1	MeKO_10_61_1	MeKO_10_62_1	MeKO_10_63_1	MeKO_10_65_1	MeKO_10_66_1	MeKO_10_67_1	MeKO_10_69_1	MeKO_10_70_1	MeKO_10_71_1	MeKO_10_72_1	MeKO_10_73_1	MeKO_10_74_1	MeKO_10_75_1	MeKO_10_76_1	MeKO_10_77_1	MeKO_10_78_1	MeKO_10_80_1	MeKO_10_81_1	MeKO_10_82_1	MeKO_10_83_1	MeKO_10_84_1	MeKO_10_85_1	MeKO_10_86_1	MeKO_10_87_1
090917MeKO_05_10_ID001	090917MeKO_05_10_cmb_ID001	U			1001.6	247.95  Win001_C01	2		FALSE	0	0		4360967.70456629	2083.50760832296	40924.1875549367	622393.583793836	7729664.12578359	2221449.83809972	1263923.76395443	2896818.49621467	17036.6136676207	0	1518861.68623992	0	3195693.07307039	1099329.99641698	1806536.01973295	2142355.51699046	1050405.4724514	26936.2575588513	840612.628648974	7563351.02164223	666471.867684812	1789666.42533003	1107145.29411947	1513442.99739059	7143.9244739675	346364.656559279	1502.56310775031	268148.144541604	118605.105775756	8484.95134126831	578569.954350603	460479.401872665	9267717.45370489	2644894.33766899	2349432.78592957	4407325.78034429	162842.063375153	576405.488810494	562026.887194141	1982140.72023277	95605.0676681237	115119.968283801	28922.6471583627	5440856.17625608	608861.972732502	7346154.28098072	14336619.113574	106597.540822967	286520.099555777	3312405.48869953	107043.969560811	819469.128111415	161868.886951236	639165.423046624	1155.61804931872	3076.09193003456	227291.970134697	2460071.57450774	3215343.01660681	2311939.03588984	3622823.51301487	1257325.39599752	328054.512345711	718719.557218215	360771.372783754	2089232.34756254	5402737.19771127	120430.664175669	1602538.45844007	9089.910258402	425021.834104528	1628405.03069142	141019.351071935	178530.903594165	404319.91907569	391652.279565491	374373.124698781	886751.854786476	4855623.44942584	1352126.74671451	4065593.06588429	1021771.40757695	2032621.19919965	4876166.41186105	215764.778138608	1325791.39956096	4893897.00131843	1701380.88042825	136076.231165191	232819.450562656	56970.6874793058	5545477.53982476	207483.925982378	1592773.71984414	425656.240169942	268869.951613799	390325.391788086	387434.349804388	5431384.72849469	1909095.73014821	879146.265485582	560666.017797563	2006553.21640246	200538.275974551
090917MeKO_05_10_ID002	090917MeKO_05_10_cmb_ID002	U			1004.2	248.91  Win001_C02	3		FALSE	0	0		747701547.143306	748470224.880443	691926789.924013	1059631840.9697	822108396.250387	635206516.597749	552620354.412732	632238175.721937	375224532.884073	348387781.548812	590064875.27855	451714701.365804	368121162.93135	352859186.668923	449718621.318151	373397541.646779	518227694.281399	513029982.521708	314943900.534605	340180438.374211	473703570.094464	546495514.440531	412257492.426506	255403177.545748	327334263.31722	729993605.3152	530593756.063005	606938708.239082	380380573.487189	407342437.663263	535580849.712659	299772291.750138	580216274.740554	520105386.553411	528578734.080516	594388482.552904	667101890.503038	482733072.698699	574212996.663532	395245372.698075	383404551.284112	594305367.382422	851993398.952242	715236930.442913	671217169.673007	620866575.223718	607535907.249313	557411966.512176	437095281.624317	479245882.347849	251112355.683674	527733592.360486	506117193.92517	655641434.252766	470726330.557845	570492904.64931	485677759.137253	294333776.357716	438307128.389605	437808046.634191	551294562.776341	551355708.68365	483296650.464343	427316010.919411	455155383.887856	421788744.576736	517382297.503429	448982699.529907	704697374.882248	504621899.457966	603372834.573895	442690941.417389	245262615.655752	380265427.946415	277217895.818955	349297006.062196	388822873.124968	270801720.183562	681301865.360371	271793936.775962	259658067.471104	221780668.475401	222022687.694518	237779390.066757	255781920.200422	235348628.868606	216585040.112029	177275855.25658	171086982.243622	324348568.691029	213142697.791515	329130103.125626	230609477.081669	352911238.560125	246275832.320133	305375967.160566	214598093.800527	185429120.199325	392323723.801348	246469681.041781	255960560.891805	269431236.99249	322544605.134295	291817427.140737
090917MeKO_05_10_ID003	090917MeKO_05_10_cmb_ID003	U			1010.1	251.01  Win002_C01	4		FALSE	0	0		83969504.5215858	85881957.3578858	47850610.088544	106903358.510175	49674266.4422507	56906091.1900461	89166910.2920523	131733894.489247	69713837.8145101	86158475.7910705	100066173.625137	90857129.2908775	100098427.784084	35061329.9653267	89950806.18304	182982016.728674	79682255.9290644	94177219.5815971	79763869.837866	29939787.964859	89388133.7135226	82775344.0602708	65278443.4640581	405314036.79307	125762092.528231	148373029.105251	60221431.4219347	97905310.0777707	125923277.628292	100587340.10771	33752694.3136884	64218268.1305697	89193820.5601601	87245798.4892889	111862922.091368	20766910.0113639	95331877.5209683	19058279.9883589	54119686.9911833	77480037.8413674	80336581.7795813	109415457.628046	113612815.607137	46165828.5255009	93907796.3011699	143485065.396372	140480306.833169	130869494.632169	115027754.108575	82988998.6741263	52892775.0088515	95314006.6288126	88979434.6797039	71322635.3049602	90618029.2909545	91859739.3867909	93352112.1468764	64751018.289042	90996339.4847857	67609798.0616709	101434241.976764	82941067.3292852	157380407.614071	124624799.797353	129413116.471546	94529453.4675011	113961565.810142	105023114.186765	103087106.283234	129007115.922911	79398703.2520328	93270252.4595904	105316588.041368	93641596.4393338	84584068.8889179	184894480.543318	121709121.298584	57716874.3399716	51310880.3119793	92757025.2530387	19505874.5379035	113317419.960352	37238868.7567028	148664528.858132	178963310.720536	82631957.7580312	71257083.4045257	115661218.970255	74473147.8561313	67050598.7439752	87287747.138008	39959558.2714779	102741716.543499	87772485.7979042	76527198.8432305	70569434.2104343	199198037.877884	72363272.2044148	147612667.67756	129737890.321995	119986185.680526	99773928.2534783	109632992.127571	96059040.0960273
090917MeKO_05_10_ID004	090917MeKO_05_10_cmb_ID004	U			1011.8	251.64  Win002_C02	5		FALSE	0	0		19622053.1347117	29349833.9413057	3584207.57432289	26084654.6249814	19253138.8232888	15093759.4840893	21664659.5264126	16777191.0734492	1154347.77483752	7433044.213135	12815796.1970938	7793762.68026552	6632207.44844854	2475930.83676056	15165210.5316198	21969097.6391477	13241565.6904229	9473001.76323057	13851286.6581193	4364641.38264918	21250283.8512768	12671219.6548207	10456948.9473106	79761013.1147001	16792055.4008681	8353604.70669206	15854483.0281143	15513108.1484329	31076697.8340944	2020402.30888268	5895744.19518509	7139305.37414545	11462202.6443923	9148703.3909266	19270650.4808552	5962335.52831302	4359983.63643391	893001.621373794	18425347.5853737	10077023.1572055	1248831.10858834	11582104.1302669	10959476.7795348	14368990.3189447	13154954.3722989	16892552.7842004	17249428.7022515	18212897.4866646	19022122.3610901	13332779.311377	3520445.66012113	7137263.15982693	20402941.4685005	31733994.0449015	16985783.8485062	11749314.3844741	24164570.8100844	10954724.4264804	1921109.11826851	18392575.2554032	13751631.10123	21033798.0737998	14280806.2117827	8937769.03656128	9765208.17297818	11672539.3543025	14821869.7648364	10881356.3836156	18069361.0809981	2744293.24022554	10449470.4793959	9621716.43033645	5406712.30681481	4373053.70763863	1067373.48488628	5469664.04971939	15608346.8974924	10212555.5819091	13706515.2969283	6849157.77648051	4631576.18802117	9886058.64116363	6683253.48520283	19854844.3651562	9498289.4863301	4516039.60963273	11569496.9610582	14462182.3679306	7169076.81623365	21272064.8106648	2795.2665841247	7787570.6587931	10352032.1679391	8108881.64293037	2645675.01605235	82367.982275734	4124235.51672276	7038551.79930167	17162308.5555954	5838795.34161463	6356256.17484403	251499.432569883	1434643.12983778	14353486.9781059
090917MeKO_05_10_ID005	090917MeKO_05_10_cmb_ID005	U			1013.8	252.33  Win002_C03	6		FALSE	0	0		352275114.859158	191291222.625495	61471960.4693636	135562450.595858	71194844.1622577	256680741.305923	150431735.838948	132864511.541441	1034027685.10596	2303597364.68604	332338339.44694	1269042893.92308	233602499.347446	795037980.973863	93786139.7550821	313887192.325808	88529621.0881768	164595353.854338	84743028.3311005	53481326.3041457	132415084.818581	66527440.7606692	308133918.698972	158729990.03416	265373672.257333	750509492.883067	412910911.969305	285310168.202063	103684888.979851	377095693.786588	101251733.951677	102642353.452162	59486548.2538796	143811217.929512	48226536.2814763	58698383.4761026	192454069.929695	107268126.32096	89786092.6084744	42082209.6865475	125850565.314683	107919377.441305	411373351.450447	105813290.129504	152295485.071687	86377390.3346843	66510983.5030355	55826893.5078832	373577706.465626	98268477.4175257	233754231.372876	369946067.443611	277570901.032751	246545973.60308	88468599.9611997	89514546.9955617	115459150.615686	60143481.7802894	208165501.374768	81140845.3749228	39734601.7837647	130863315.236663	203249497.908477	86225500.4462813	214273485.808451	207282960.950029	101492306.240056	92308087.1333162	101941494.367707	233441329.98366	45723227.5812611	170875711.751714	64999262.9747825	117780672.46636	27001823.0482446	86618281.8900465	35912736.0902329	46064477.9526689	58460030.6893415	35099856.4873433	42982590.4910843	74521643.2218274	59249896.0313383	98043447.0466856	90124969.8440027	97068628.2595185	36593946.158268	99608515.6683438	58367183.3594649	37085383.8484234	282464811.52131	27657119.3116112	28997780.4256852	38943028.6776944	59769444.5135812	207850330.97085	137676520.344374	43798766.8145046	21502677.7383648	6944138.14483342	4955969.77866578	58161822.9335988	47595469.9398965	15441797.2275741
090917MeKO_05_10_ID006	090917MeKO_05_10_cmb_ID006	U			1019.7	254.42  Win003_C01	7		FALSE	0	0		35534804.0079127	63248268.6313849	35122631.2928838	58538154.0568198	47157949.0743847	26195242.869234	28038820.74662	27768572.5624245	42314515.3806652	54093802.3771931	61571438.6037907	31094850.2223307	38980479.2534443	37844211.697538	29195107.9662226	30361670.272401	50245036.0066883	50681326.149281	27435173.5746731	41495645.7159759	36247864.3730369	31501660.0377594	44045018.487807	40751914.8173881	41487616.983875	54198519.7472496	26943887.5500069	33851591.8651082	35901920.9506295	19309852.812542	38256269.1561356	46314442.7914183	58265815.1412286	48469928.1875546	32621787.1327307	32150010.9189028	44391716.157355	45524173.2864469	33133401.5628483	18051735.3954229	39340602.2201154	40851393.1241149	52864633.8409584	49455772.6708402	34758801.2382894	27583754.4762622	30907170.9756262	50125304.7238951	37435383.1974095	39319164.6730777	37331287.71941	31062857.6548133	34913147.3061009	58281890.4219318	41435130.4097522	32964679.9947549	33050343.2136665	42892320.1243662	52055808.0613926	37915735.3121021	38623556.5356985	61711692.5309754	32231910.2566366	38293489.0598267	40239557.9201636	39959036.0546264	31831597.3786113	27769862.7344192	42910159.705379	27041567.9675336	31094892.0903192	41171164.4258979	30374340.3355108	31034220.1779336	35666568.8094905	36213043.8733643	26647184.0712277	56036460.1960114	41252862.9572023	35302548.7587557	45644449.0152375	34448306.3586967	27274226.2991034	25053720.9708466	24397925.9670155	39317999.3604291	41815659.8927312	52618089.2877576	35294492.753852	37140277.0517027	37561952.055359	18340002.0905152	34646876.1276292	30829331.9699277	39328183.1595795	30146757.0620219	35094043.8908333	31401251.8902834	52054404.7133397	26533682.7006432	26077636.1118662	41419230.5264688	48469632.701804	37337654.4300347
090917MeKO_05_10_ID007	090917MeKO_05_10_cmb_ID007	U			1021.1	254.92  Win003_C02	8		FALSE	0	0		1275275.02733361	3983158.90642854	741906.055620551	2141173.5648989	1643253.80124085	1469899.02383919	2781648.34020557	4976886.62547947	13117135.7266766	2533981.58309878	3246368.51527373	2376978.2122768	2506094.37753348	3144550.71360054	6573540.55160274	4920538.18034193	1747872.74322242	1128930.16419093	2143861.49074434	1477322.91179452	2004856.44205434	7566848.01504184	3779434.89395375	2475710.66506353	2078086.98672247	1229052.33008655	5948942.32774472	1501355.54156279	2510715.40595993	2073133.46046718	2362487.40013124	1441474.9307509	644791.523973348	900231.037401742	1033408.52705812	1057986.73605207	1100163.29618832	523884.391499065	1814569.78656448	1077745.63871237	2444152.1692671	1474431.48360447	8995246.39853256	446257.812560233	1523464.54993976	1654961.67754275	980007.868553623	1338927.40257934	3789546.19888739	1255860.57137495	2159590.8215361	3446846.56481252	1719561.7967424	1707180.65883258	1063738.12974056	1210878.82762766	2080347.33693377	904444.186123135	2038276.70006253	1023116.74079513	4048495.09646516	1200306.66864394	543120.898300883	1198003.52737487	2396181.06008165	3306546.54442293	1020297.58110563	2335655.24380747	278223.794315641	3502374.48177379	1966815.78980197	2359338.30907353	1442658.05662084	2144065.3840712	1151685.63963274	1569234.25737244	1014094.90172005	911492.290550804	0	472720.257942635	251313.654401243	401511.82841308	2567093.23681111	318389.415312889	710780.124913272	381632.397950631	1229111.46993489	1201786.52567163	733830.633445792	768160.282693881	1890517.54316643	828935.644856028	1844138.13643427	1623505.17662273	1177956.27001285	1074710.73386551	781479.957986031	1344470.60901714	1250578.40090313	2784262.15785885	1645533.93283197	500015.408517103	260962.27796978	833495.688536765
090917MeKO_05_10_ID008	090917MeKO_05_10_cmb_ID008	U			1027.6	257.18  Win004_C01	9		FALSE	0	0		3669056613.31966	1887748170.22722	1255617103.31609	2339691338.53283	2893213172.75094	1051744756.17235	2516110957.04758	2637526742.06807	2246405265.15758	1919571634.19458	2504050607.52922	2798211419.29858	2376509675.11772	1379023463.95002	3491030665.50863	4315713423.18221	3146781846.62314	3170527805.3852	2252176246.80995	2411284494.19828	2507967879.39411	3850101561.07574	2431058381.86951	5894054088.96902	2893196236.7415	2384007097.88944	2294099585.1358	2406052540.86291	2787899137.95056	2447529462.60817	1863883487.31531	2640170312.93852	3423433684.53202	2132007504.45949	2161545734.93047	1599242117.16104	1525748556.07657	1215672097.63732	2309454207.01781	2610193232.26653	2046512975.9149	2298224308.97747	2007700406.85708	2152464019.58047	2152915927.16431	2975187030.27502	2936105374.99307	3507157907.9123	2739992501.54354	3115196208.97998	2050959449.05716	2784877677.71522	1995464508.53966	2610935765.74062	2368915498.08986	2609681240.63356	2881338131.6738	2206317819.04411	2109237469.30563	2440545136.01173	4113635195.1746	3393320655.94931	2708058138.69873	3191828503.7908	3096598338.51464	3180479431.38271	2979980492.83001	2960082490.4697	2237148241.24662	2445393320.92464	4609147571.80458	2768477145.73407	2312864018.58335	2298823489.43836	2795721999.58132	3135301799.16906	3598217243.8501	1830002957.96229	2299886617.12712	1871170306.25935	1772095399.81093	2709202194.38007	2083704600.86743	2422853204.27815	2669801961.94901	2572387018.24781	1918431054.31504	3170994248.60035	1975987203.78167	2279955062.36094	2374354471.56471	2639226550.17076	3640764289.12726	2048308145.92282	2656753318.752	1951510568.83042	2923659408.20347	2194145573.99027	2669714904.3187	4474539807.9002	3857331182.10849	2390188936.41778	2603356799.78525	2557384577.34309
090917MeKO_05_10_ID009	090917MeKO_05_10_cmb_ID009	A2		Pyridine, 2-hydroxy- (1TMS)	1029	257.65  Win004_C02	10	Pyridine, 2-hydroxy- (1TMS)	TRUE	0	0		980029710.90592	916081665.296006	1334869552.82309	1279793517.68192	987303431.043191	1332145133.1398	684060136.253686	894484039.077321	320299581.635592	663884204.276377	464365136.150644	401560884.304518	227963671.466733	261619605.514628	565520663.885453	445414790.772088	533314815.895496	655951234.724072	372258558.349031	479634287.26589	797995421.82771	796340797.135177	958487131.243647	937888062.534344	1434715419.16537	2332435868.97194	1943366407.95733	1531168438.53663	1289581586.92122	1273105528.61071	1177368581.93104	525980078.509776	603898265.996042	580965476.417185	593027522.391742	1101072078.40053	1018598031.5098	758456646.055323	851867600.432921	1079726506.16925	1300387700.57664	1207027542.62826	1376599376.21423	1436575101.12062	1169997933.67617	1042575348.43747	1232692741.60195	1121386244.98992	390108303.782258	265637862.459492	176883936.328666	346575456.644917	634805097.451185	774008549.124017	719971467.808258	713982985.873825	1044283369.71354	754182296.854015	326268079.838442	518782179.216788	448438549.26789	764511673.400273	1149902328.581	918523103.726836	438542469.916941	1151423728.26325	976445743.776399	913380508.096627	1268858116.57142	896588852.793704	1297677242.00731	999849703.595444	885950664.707909	432162839.920507	616533906.742097	887019641.830166	1617904210.1805	1486911790.37133	1446119289.04571	1289724294.60742	614674729.523083	314364017.695986	491562365.193473	558300417.13634	476812434.356451	295609126.371025	559080906.820482	520766480.092841	462518145.517359	601853165.487547	363754881.890963	614196539.152258	586622670.271865	515097182.833239	662365506.563171	320087952.570708	413187321.291092	794224928.721201	730525737.614873	647061807.270136	502321428.944165	442482702.273324	1002754154.3282	569665854.462488
090917MeKO_05_10_ID010	090917MeKO_05_10_cmb_ID010	U			1034.1	259.47  Win005_C01	11		FALSE	0	0		581512805.578262	207297724.790903	124305762.389742	274309410.611452	247886956.35314	17575050.1154964	165719029.325678	240629117.919472	7024955.68721693	45449963.0636251	194686681.419808	112062743.591289	51739939.0181315	12377480.7189516	452929998.756539	237095345.88094	147259869.274475	123145480.181538	132246900.781378	182213635.507596	109634799.480547	432229459.511244	46073453.0844377	151806504.052174	36812314.6929253	66334109.4664632	165332466.499606	121643719.158602	187136986.146633	32336898.3027403	170657568.582027	18272247.6946985	87034361.3536427	76067807.3095268	120056032.858758	158720589.312768	45296096.8667285	582251.303881441	25459218.9957024	129979352.72503	5180539.04071089	112934482.111863	93445604.228597	123583232.753664	55498468.8694725	181001023.578497	246413295.575721	242493317.97004	54303494.142486	134033727.551222	390007.960211421	122990741.872123	40493797.5944174	105091686.524411	58147046.9727023	125751829.699533	141810593.203672	23825913.3378975	11117949.8455081	60856507.3377781	349060841.570614	130157626.463794	46467404.6109167	166372444.945136	23728033.3288695	97310519.355992	87358883.0473126	93028651.1472115	135609668.952323	57897331.8499688	282912404.963911	92008812.3282691	4966074.4299183	33517194.3924002	32434140.4661404	27747386.4491967	34059982.3567717	3600329.92483113	41162558.3801748	5601713.6593658	1153998.5356227	2553811.34760276	31634488.9663106	43643921.0563507	510698.575319306	19278555.6951153	10964075.7665864	22158984.5982167	3960740.08879805	38749002.4228541	1469351.32280117	69934108.3032768	89874890.5554976	30109955.6584737	1588240.60850989	309932.234736545	5365647.95290357	6333514.65929599	21893143.277028	76744962.2671118	99692470.7795169	5426246.14697683	5038231.05194939	47159505.3776386
